comment,id,date,num_likes
Aww I still listen to Kate Nash,Alannah Watts,2019-03-15T09:40:14Z,3
Mark and Zoe vlogs are my favorite,Michaela Hutchison,2019-03-15T09:23:42Z,5
love zoe &amp; mark vlogs ❤️ always makes my day better,June,2019-03-15T09:22:34Z,6
SO HAPPY ABOUT THIS!!!!! ❤️❤️❤️,Jetaime Alamo,2019-03-15T09:16:08Z,5
Omw i needed this such a great vlog,Emma Swan,2019-03-15T09:15:47Z,3
Seeing these three talking on the couch and laughing their heads off seriously just makes you want to be their friend :3,Joana Henriques,2019-03-15T09:13:37Z,304
The questionnaire at the end was fun. 🤗,phyliciajoykloes,2019-03-15T09:07:30Z,9
Poppy deyes is  like the funniest person but she&#39;s so classy . I adore her interiors. I could never pull it off,funky fudgehog,2019-03-14T19:18:24Z,985
This is just what I needed tonight 💞🎉,Isobel Brittain,2019-03-14T19:17:49Z,13
So you&#39;re just gonna leave us hanging???? What did you think of a star is born?!?! I loved it,nicolelynne09,2019-03-14T19:17:18Z,11
I love weekvlog,Sharina Mac Gillavry,2019-03-14T19:15:26Z,1
Zoe and mark together in a vlog? The best way to start a preweekend💜,Irene Sendino,2019-03-14T19:15:06Z,10
Can I please have a Mark and a Zoe in my life? I need people like them in my lifee💕💕,Laura E.,2019-03-14T19:13:33Z,19
This vlog was so hilarious haha,xMissKeya,2019-03-14T19:13:14Z,6
Yassss zoek is back together 🙌,Ruby_Valentine_holland,2019-03-14T19:11:58Z,12
I love tiffin but I like it best with some raisins and golden syrup as well as the broken biscuit and chocolate.,toffeepopzzz,2019-03-14T19:10:38Z,10
Balls deep 🤣🤣🤣,S Ryan,2019-03-14T19:10:27Z,4
I love your vlogs!!!!❤️❤️ Out of unrest will you ever be launching your main channel again? If you do I would love to see an ASMR video by yourself and then an ASMR video with mark because it would be so funny I can already tell!!,Emily S,2019-03-14T19:09:51Z,14
"Zoe- turn on that notification bell. WHY AINT YOU TURNED THEM YOU LITTLE FU**ER?!?!?<br /><br />Mark- *bunched up in the corner, thinking of his life and last words 🙁.  Lol☺️🤣",willow,2019-03-14T19:05:34Z,1
Great vlog as always Zoe love you all lots xxxx,Tallulah Frendo,2019-03-14T19:05:30Z,1
I LOVE YOU ZOE U AND MARK ALWAYS ARE SUCH FUNNY FRIENDS WE ALWAYS NEED FRIENDS LIKE THOSE TOO U ALWAYS MAKE ME HAPPY XX❤️,Kiera Busk,2019-03-14T19:05:06Z,1
I wanna know how the jacket potatoes got on noooo😫,Lauren,2019-03-14T19:03:10Z,3
NO ONE UNDERSTANDS HOW LONG IVE BEEN WAITING FOR A NEW MARK AND ZOE VLOG OMG I LOVE THEM SO MUCH,Ellie Hayes,2019-03-14T19:01:18Z,9
"Loved the Q&amp;A part and hearing all your funny memories together❤️ Also Zoe seems like such a lovely friend, just little things like asking if Mark wanted some juice when she got herself some",Ellie Broomfield,2019-03-14T18:58:06Z,22
Early Squaaaad,Uzomba Mkpuka,2019-03-14T18:57:31Z,1
<b>Mark eats something nice</b><br />Mark- nOooOo,Ffi Dav,2019-03-14T18:54:52Z,24
&quot;Cut that out coz we have taps &#39;avent we&quot; 😂😂😂😂,Pheebs. Xox,2019-03-14T18:54:18Z,580
A 45 minute vlog... just what I need 🥰 plus it’s zoe and mark 😊😊,xx_Katie _xx,2019-03-14T18:54:15Z,5
<b>*Sees Mark in the thumbnail*</b><br /><br />Me: FUCKING FINALLY!!!!!!! YESSSSSSSS lmao,Taylor Rae,2019-03-14T18:54:15Z,0
I literally never leave comments but I have to acknowledge how much Zoe talking about her farting all night took me by surprise😂 Genuinely laughed out loud!,Rebecca Vance,2019-03-14T18:54:03Z,272
<b>Zoe complements Mark</b><br />Mark- oH nOooO,Ffi Dav,2019-03-14T18:52:05Z,527
Zoe + Mark + Baking &gt; vlog = bliss,Nancy L,2019-03-14T18:51:42Z,12
Perfect study break video! 💙,Alyssa Dickerson,2019-03-14T18:50:36Z,2
Love a Zoe and Mark vlog!,heythereshann0n,2019-03-14T18:49:52Z,1
"Seeing a new Vlog is online after a very long working day is the best thing ever!! I enjoy you and Marc so much, you make me laught every time. Thanks for great Entertainment in the evening 😘Ly",Kerstin Tossmann,2019-03-14T18:48:03Z,1
How was the potato tho?,Tammy,2019-03-14T18:47:38Z,1
I wish I had a friend like mark too! He’s so sweet and supportive..love your friendship! Love from India 🇮🇳 xx,vanshika andriyas,2019-03-14T18:47:34Z,6
Yay a Zoe &amp; Mark vlog!,MikeVlogsYT,2019-03-14T18:47:31Z,1
Fuck I need some friends.,Tia Farve,2019-03-14T18:45:45Z,0
Aaaggghhhh yessss! Just what I needed x,ashleigh s,2019-03-14T18:44:56Z,2
"<a href=""https://www.youtube.com/watch?v=HsAdbBVIheE&amp;t=11m53s"">11:53</a> 😂😂😂marks finger",fahimah ahmad,2019-03-14T18:44:37Z,0
"Please do the Q&amp;A’s more often, I loved it",Georgie,2019-03-14T18:43:21Z,1
