comment,id,date,num_likes
missing your vlogs so much ❤️❤️❤️,tina tina,2019-06-27T08:13:47Z,4
"You should listen to the Holderness Family Podcast, they have an episode on dreams and their meaning.",Jane Krauss,2019-06-27T08:08:59Z,13
"Whose dog was it that you were holding during bohemian rhapsody, and what it’s name. It was so cute!!! 😭💕💕💕",Niamh Hardcastle-Sharp,2019-06-27T08:03:58Z,1
Zoe i love your vlogs:),Mssana Charle,2019-06-27T07:55:28Z,0
"i’m going into london for the weekend for the first time for over a year and i’m very anxious about it, but this video has helped a lot and made me feel less alone, so thankyou! xx",Harriet Stacey,2019-06-27T07:43:33Z,5
"The whole thing with the dream, I dreamt that my boyfriend and I broke up and I got back with my ex. This is because we had been talking about whether or not my ex and I would have worked better when we were older. Dont worry, I love my boyfriend so much and would never leave him for someone else. But it was a funny coincidence 😂",Fiona Daly,2019-06-27T07:40:09Z,2
The girls singing a guide/scout song was so cute... we sing that song all the time at my guide group when we re on trips 😂💕,Katie B1403,2019-06-27T07:28:30Z,0
I had travel fear for a long time but then I traveled from one side of my country to the other side by train and that killed me but at the same time it gave me the great feeling of being able to travel and that there’s nothing to be afraid of. Crazy how something like traveling with a train can give you feelings like that.,Larissavx,2019-06-27T07:28:08Z,0
Yay another Zoe vid who else was missing these?? ❤️😂,E H,2019-06-27T06:56:49Z,5
"Zoe looks just like Jodie Comer from Killing Eve, you cannot convince me otherwise.",Teddy Chalamet,2019-06-27T06:50:18Z,0
color mask do that to me too! 🌷,silvia cherillo,2019-06-27T06:48:42Z,0
she&#39;s back guys,GiangBui,2019-06-27T06:48:37Z,0
So happy you&#39;re vlogging again!🥰💕🥰💕🥰💕💕🥰🥰🥰🥰💕💕💜💕,beanybobs,2019-06-27T06:41:48Z,3
So happy there’s a new vlog!!❤️,Anni Rundgren,2019-06-27T06:40:31Z,0
"My name was said twice in this video, such an honorific",KIRA,2019-06-27T06:40:13Z,0
Mine eyes swell like that from allergies. I had allergy tests &amp; injections. 2 years later allergies down 90%.,wendy malik,2019-06-27T06:24:55Z,0
I feel so seen and validated by the fact that your car’s driver side window looks as dirty as mine. We’re all the same after all 😛,ShonaKura,2019-06-27T06:21:02Z,1
"Hi Zoe!! So glad your back! Was literally saying to my boyfriend the other day how much I missed your vlogs. You must have read my mind haha! Just thought I&#39;d let ya know, I&#39;m not sure how you applied the hair mask but with conditioners &amp; masks they are only designed for the mid lengths &amp; ends of your hair as that&#39;s where your hair needs the most focus, and that could be why your hair feels greasy. I&#39;m an ex hairdresser so just thought I&#39;d put my advice in. Also don&#39;t use too much as this can also make your hair feel greasy. You only need about a 50cent coin size (not sure what that would translate to in the UK as I&#39;m from NZ). Hope this helped &amp; I&#39;m looking forward to more vlogs!!",Little_Miss_Obsessed,2019-06-27T06:19:58Z,0
had this playing in the background at work today and it was therapeutic tbh,ShaianneSunagawa,2019-06-27T06:03:38Z,0
I love that you are vlogging and posting! I was just looking through your videos the other day wishing you would post again and it makes me so happy that you are! Love it!!,Caitlin Jamison,2019-06-27T05:58:41Z,0
Welcome back Zoe you and Mark are the funniest pairings thumbs up 😇,kkrispy2009 P,2019-06-27T05:45:50Z,0
wherw did u get that whispa candy bar candy at ive been looking for years u had it on one of ur instagram story&#39;s,Heather Diaz,2019-06-27T05:36:58Z,0
A few weeks ago my other half came home with a MASSIVE bunch of flowers for me and said I’m sorry I was mad at you earlier it’s because you cheated on me in my dream 😂😂😂,lana sivyer,2019-06-27T05:35:53Z,17
💐😊,A DUTCHIE IN STOCKHOLM / LORRAINE BRANRATU,2019-06-27T05:34:48Z,0
how i missed your vlogs so much 😭❤️,che tah,2019-06-27T05:30:32Z,0
I GOT SO HAPPY WHEN THEY PLAYED BOHEMIAN RHAPSODYYY,Matilda,2019-06-27T05:28:47Z,1
"missed the vlogs ♡ i&#39;m surely gonna do the &quot;just go somewhere and come back&quot; think, i hope it helpz",Hoața de cărți,2019-06-27T05:05:21Z,10
god!!! zoe is so adorable and cute !!!! she is edibe &lt;3,vysh 1612,2019-06-27T04:58:31Z,0
When i’m having really bad anxiety (which was happening last week) i have the craziest/scariest stress dreams so this is super relatable!,Brendonmakesmesmile,2019-06-27T04:51:00Z,0
"I wish could work with you Zoe, I have been follow you more than 5 years now and always love to see you and all of your products.❤️❤️",Nalarin Chaimuang,2019-06-27T04:38:30Z,0
Petition for mark to go on love island,Chelsea Lee,2019-06-27T02:30:11Z,6
I was checking every day if zoe uploaded a vlog and yaaaay here it is 💕💕💕💕🌺🌺🌺🌺,samnah,2019-06-27T02:29:05Z,1
‘How does it know where you wanna go??’ 😂😂😂,Hannah Samantha,2019-06-27T02:25:02Z,4
We missed your vlogs!!!! ❤,Michaella,2019-06-27T01:54:35Z,0
finally!!!my day is complete💖,april grace,2019-06-27T01:42:55Z,0
"This hit me so hard.. thanks for the travel tips. I’ve really struggled. I’ve followed your story, and it seems similar.. but I will try.",Thelittleone21,2019-06-27T01:39:40Z,1
I love your vlogs!! So glad they are back!! Anyone else?!??!,kendal isabella,2019-06-27T01:33:16Z,2
Omg I do the same as Mark I just watch the ending 😂,May X,2019-06-27T01:18:12Z,2
miss seeing you and mark together in vlogs &lt;3,Johnathan,2019-06-27T01:06:09Z,3
"Thank you so much Mark, for being there for Zoe all the time. 😊",JCshin,2019-06-27T01:04:16Z,0
"Love how mark seemed so nervous of the duck, meanwhile Canadian geese can be complete a-holes. They&#39;re the ones I steer clear of 🤣",Melissa Blais,2019-06-27T01:03:56Z,0
OMG how perfect I was just about to rewatch old vlogs bc I missed your energy!! but you uploaded :) made my day!!,Anita Rao,2019-06-27T01:01:21Z,6
"Hoorah, I’ve missed you Zoe xxxx",Abbe Bladon,2019-06-27T00:52:14Z,0
yes bring more vids love them all,Stephanie Brooks,2019-06-27T00:30:15Z,0
"Zoe I’ve missed your vlogs so much! This made my hectic day, of never ending meetings, so much better!",Sabella,2019-06-27T00:28:37Z,5
I almost passed out from the excitement,Chariti Hoven,2019-06-26T23:51:22Z,0
Your vlogs are my favorite! I really hope you&#39;re still planning on doing vlogmas and not just posting on your instagram!,C,2019-06-26T23:46:25Z,5
question: do you use any make up setting spray? Because if I had touched my undereyes like you did at the beginning I would have rubbed off some of my makeup 😂,The Weekday Warriors,2019-06-26T23:45:23Z,4
Zoooeeee!! We need more of your vlogs! 💜💜,Raya Sh,2019-06-26T23:41:49Z,0
Thank you for sharing bad hair day and  &quot;the bags&quot;!  How did you got rid of them? Nice to see we all are humans with &quot;bags&quot; 😉🤗,RadiantM,2019-06-26T23:36:30Z,26
I have anxiety not traveling but getting there. Aka anywhere but home. Love tips for that!,Laura Monday,2019-06-26T23:35:53Z,1
Ha Zoe you&#39;re so funny and weird 😂 My auntie would ignore my uncle for weeks after dreaming of him cheating on her and he&#39;d have no idea what he had done and she&#39;d just say &quot;you know what you did&quot; 😂 😂 xx,Gosh〈3,2019-06-26T23:34:46Z,9
missed youuu,idoria,2019-06-26T23:34:23Z,0
yeah I woke up crying and wanting to punch my husband some morning after a vivid dream and glare at him all day,isabel Geddes,2019-06-26T23:28:40Z,8
Good vlog,Dylan Sousa,2019-06-26T23:23:59Z,0
Fanola No Yellow is the best for toning blonde hair while you’re in the shower :),Gabrielle,2019-06-26T23:22:24Z,0
"what&#39;s the song that zoe started singing at <a href=""https://www.youtube.com/watch?v=JedJUc2dySk&amp;t=8m10s"">8:10</a> (it&#39;s all about you)",MELOVESTHEVOICE23,2019-06-26T23:19:20Z,1
needed vlog,Rianna Montana,2019-06-26T23:15:30Z,0
I miss your vlogs Zoe they are awesome. Are you doing vlogmas this year. x,Angela Robins,2019-06-26T22:47:11Z,1
Was waiting for this!!! Love you Zoe 💗💗x,Kashwi Pandey,2019-06-26T22:45:13Z,0
I’m the same with all my dreams,Charleigh Jade,2019-06-26T22:43:18Z,0
I miss your vlogs so much!!!,Sherry H,2019-06-26T22:37:54Z,0
WE WANT MORE WE WANT MORE,Catarina Silva,2019-06-26T22:35:57Z,0
I&#39;m currently in London and you went to all the places I&#39;ve went to this week!,Ryllie A.,2019-06-26T22:31:02Z,0
"This made my entire week!!! I’ve missed your vlogs, Zoe 💗",Kassandra Berrelleza,2019-06-26T22:30:02Z,6
"Yeeyyy a zoe vlog, I was soo excited when I saw this :))))))",Jamie,2019-06-26T22:29:10Z,0
I relate to Mark with the whole popular tv show thing and I am so glad someone else does this too!,Lindsey Massie,2019-06-26T22:28:22Z,0
Grow your hair again❣️ I’m missing the 2013/14/15 vibes💕,Lucky K,2019-06-26T22:25:42Z,0
"This is making me crave a day in London with my bestie. I’m from the north east 😂 ah well, saving starts now 🤷🏻‍♀️",Emma Charlton,2019-06-26T22:06:23Z,25
I can now get on a bus my self because I did one stop at a time to stat with 😊💖,Emma,2019-06-26T22:03:54Z,0
I was actually binge watching your vlogs from ages!! And you post a video today!!! Hope you read this comment!!!  Love you lots ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,Trushi Jethva,2019-06-26T21:59:33Z,0
"I love your vlogs, Zoe. Missed you ♡",Lorenzo,2019-06-26T21:55:10Z,0
Wait! Zoe doesn’t have Twitter anymore?? I knew she didn’t use it as much. But I didn’t realise she doesn’t use it at all?!!! X,Shai Millam,2019-06-26T21:53:48Z,0
Yayyyyyyy!!!! <br />Zoe is back! 💕💕<br />Love you Zoe💛💛💛,Montana Le Mura,2019-06-26T21:49:21Z,3
