comment,id,date,num_likes
I&#39;ve never ordered a McDonalds for  breakfast🙊,Jes sey,2019-11-01T16:57:42Z,1
My McDonald’s breakfast oooo I love the sausage McMuffin ! The besttt,Kate Xx,2019-09-02T08:44:01Z,1
Loving all the vlogsssssss !!! ❤️💗💗,Kate Xx,2019-09-02T08:41:31Z,1
Is there a better duo than Zoe &amp; Mark?? No.,Abby Ostergard,2019-08-22T09:01:53Z,3
"Zoe, I love your long hair it&#39;s stunning.",TheBindy1234,2019-08-22T08:47:03Z,7
candle hauls are my absolute FAVE,Jessica Cocking,2019-08-22T08:40:20Z,0
You need to get my favorite candle Pumpkin pecan waffles. So dang good!!!! I literally want to eat the air!,hi.annalouise,2019-08-22T08:37:57Z,0
I didn’t want the BBW segment to end 😂😂😂😂,emma 3mm4,2019-08-22T08:34:49Z,0
Smash the rest of the glass around the candle and you can use the candle inside :-),Tegan McLean,2019-08-22T08:34:22Z,83
❤️❤️❤️,Kem’s World,2019-08-22T08:28:22Z,0
"that little zara haul reminded me so much of your old primark hauls, sitting on the floor too<br />I miss old chill youtube!<br />Love your vlogs",Rafaela Teixeira,2019-08-22T08:28:00Z,301
Honestly thought mark said it smells like a night cat😂😭,Sienna McGrath,2019-08-22T08:27:37Z,0
"if you love sugar rush you need to watch Zumbo&#39;s Just Desserts, my 10 year old sister and I watched it. Its incredible xx",Mara Stafford,2019-08-22T08:27:30Z,0
My go to... Marshmallow Fireside!!! :),Carol B,2019-08-22T08:06:48Z,1
Also-VERY obsessed with my family ancestry!,Carol B,2019-08-22T08:51:37Z,0
Leaves 🍂🍁💜,Alexandra Hill,2019-08-22T07:58:10Z,0
so happy your vlogging again!! xox,Ella Shute,2019-08-22T07:55:36Z,0
zoe is the best luv ya heaps xxxxx,opal,2019-08-22T07:55:30Z,0
When you were watching the greatest showman on your instastories i decided to watch it on dvd and remembered my love for that movie,Charlotte Elphick,2019-08-22T07:55:12Z,2
“Smells like Baileys” - probably  because Irish Cream is Baileys. 😂,Dawn Morton,2019-08-22T07:46:44Z,5
"Porridge with strawberry jam, then i&#39;ll eat the breakfast in the wrap but no the wrap it self. Lol",Alicia Cutts,2019-08-22T07:44:38Z,0
I really love those glasses 😍What model is it? I need them 😘,Joanna Svärd Organic PRO Makeup Artist,2019-08-22T07:37:08Z,0
I wish SO badly that you two would do a perfume/cologne collab!!,Ruthie97,2019-08-22T07:34:47Z,4
Love an autumn video😍😍,Georgia Lauren Birch,2019-08-22T07:34:04Z,0
