comment,id,date,num_likes
why is youtube so rude with copyright??,Qasim Suhail,2019-12-07T07:32:37Z,1
"I was crying of laughter when you smelt your camera!😭😂, btw you and Alfie are the cutest❤",Aamirah Patel,2019-12-07T06:37:23Z,35
When I was a child we picked our tree from the tree farm in October. The owner would cut it &amp; have it ready on Black Friday. That was before Black Friday was a thing.,wendy malik,2019-12-07T06:26:48Z,3
That book is really good! Read it in two sittings,Emily Jessup,2019-12-07T06:23:12Z,0
Tis the season!,Rei Enriquez,2019-12-07T06:06:34Z,0
I died laughing when Zoe sniffed the camera,Farrah Lakibul,2019-12-07T05:52:58Z,9
What exactly happens when they get copyrighted?,Karla Avila,2019-12-07T04:44:26Z,1
Where did you get your blue couch from I love it,jovana,2019-12-07T04:29:54Z,0
is it just me or do these videos bring back sm nostalgia,Vesta,2019-12-07T03:47:41Z,4
"My poppy got lost today🥺 and this vlog made me for a moment happy, thanks",Mel Ross,2019-12-07T03:26:43Z,1
Yaaaaayyy!!!I wait for your vlogmas videos every year. They are my faves😍❤🌲🎁,Medharshi Parmanum,2019-12-07T03:23:20Z,0
What kind of trees are they in The UK? They look so different from ours in Canada. Curious...,Sherri Ashton,2019-12-07T03:23:12Z,0
The place we go to get our tree every year they take you to one of their fields and hand you a chainsaw! Hundreds to choose from and you dont have to imagine them without flat spots from lying down!,Jo Gg,2019-12-07T02:48:09Z,2
I was rooting for the big boy. He would have fit. Your ceilings look so high.,Lauralee1091,2019-12-07T02:14:50Z,105
"OMG, the beginning of your video with Nala, really looks like you both!  Love it 💓",ilovemaxie,2019-12-07T02:13:04Z,0
you are my favorite youtuber  and i love your vlogmas ❤,Alice Marie Cespedes,2019-12-07T01:46:01Z,0
I feel like the vlog where you get your christmas tree officially marks the start of christmas for me. ❤️ It&#39;s not that I haven&#39;t felt christmassy before but now it&#39;s like &#39;ok I&#39;m starting to actively prepare for christmas now&#39; and it&#39;s like that every year after I&#39;ve watched you get your tree 🎄,Sa Rah,2019-12-07T01:23:31Z,1
I love when you all sing so that’s sad 😞,Karresha New,2019-12-07T01:19:33Z,7
