comment,id,date,num_likes
Would really love to try your makeup with colorpop 😍 Olive oil is amazing for making your eyebrows grow,Georgia L,2019-02-25T12:55:00Z,6
"I know exactly how you feel. I turned 30 last month and for the past year my skin has been breaking out, bumpy, dry, oily and my hair has been dry, frizzy, greasy. I&#39;ve lost 2 stone and I&#39;m feeling wrinkly saggy and old lol ..aaargg horrible feeling. I&#39;m saving for a breast reduction now and have a go fund me so I can feel better about working out. But I think you always look lovely 😊 xx",JennysJourneys,2019-02-25T12:33:01Z,8
I love the colour pop collaboration 💗💗💗💗💗💗💗,Caitlin Holmes,2019-02-25T11:44:28Z,0
Thanks for the video ❄️,Jinslipbalm,2019-02-25T11:41:43Z,0
I love the sleep eating story!,Emma Hooper,2019-02-25T11:41:11Z,2
The 27th is my birthday how exciting,jovana borovicanin,2019-02-25T11:32:03Z,0
Ohh the palette 😍,Katie Smith,2019-02-25T11:30:51Z,0
The Colours  you have  chosen for the  new  Collection  look  so  beautiful,Jenzzyuk,2019-02-25T11:28:44Z,0
im feeling so happy this week for absolutely no reason,Alice,2019-02-25T11:19:27Z,0
Your hair in your thumbnail!,Amélie,2019-02-25T11:08:20Z,0
Ohhh yes finally watching this 🧡💛,Maggie Hasper,2019-02-25T11:03:59Z,0
"I’m so excited that you’re going back to being blonde 😍 I did love your dark hair too but watched a lot of vlogs from the past couple of summers and I was hoping you would go blonde again 😍🍀 love you and you’re always gorgeous, we all go through stages where we don’t feel super confident about our looks 🍀🍀",Tamara,2019-02-25T11:02:24Z,12
I love you Zoe ❤️my British twin 🙋🏻‍♀️,DANA,2019-02-25T11:02:10Z,0
