comment,id,date,num_likes
QUEEN 🙌🏻💓,Sude Candemir,2019-12-11T09:30:47Z,0
Love this vlog Zoe xxx,Tallulah Frendo,2019-12-11T08:34:30Z,0
eeeeeee im so excited for more new york christmas vlogs,farhahxoxo,2019-12-10T11:15:01Z,1
"i am so so SO proud of you for doing so well in your flight, i have taken my first flight ever in my 24 years of life literally last week and i was freaking out the whole time and all i could remember is you, and now seeing you do so well inspires me to take more flights too and go on more adventures. ily💙",iSAFAE,2019-12-10T10:58:51Z,8
I hate airports every time I go to one I get sick 😭,Sadie Marie,2019-12-10T09:34:45Z,3
whenever she smiles in her intro I always smile back 😂,Abby Wheeler,2019-12-10T08:40:52Z,0
I love chill vlogs like these! This made me want to go back to New York 😭,4N63L1C4,2019-12-10T07:52:38Z,3
The fact that after a long flight Zoe looked gorgeous while sleeping and her makeup when arriving to the hotel still looked so good!!,Emily Ambriz,2019-12-10T07:32:39Z,0
What brand of luggage do you use?,RaeRam14,2019-12-09T16:45:43Z,0
Nothing like coming home from uni and watching Zoe’s vlogmas😍😍😍,Tammy Derzh,2019-12-09T16:44:18Z,9
That pizza looks SO good. I want to go back to New York just to eat that😂,PsychoUnicorn,2019-12-09T16:44:05Z,7
I just love Zoe and Alfie together . I wish god bless them with forever .,Tanisha Satpathy,2019-12-09T16:43:57Z,24
"&quot;You never think of putting that on a pizza&quot; what!?! Artichoke is fairly common here in the states, not as common as pepperoni or a plain cheese, but most veggie pizzas have artichoke hearts.",Natasha Hein,2019-12-09T16:43:45Z,136
✈🗽🎇,Hello you there,2019-12-09T16:42:17Z,0
If you guys wanna see lights you need to go to bay ridge and Dyker Heights<br /><br />I grew up in Bay ridge and I always  visited the neighborhoods during winter,Shevym,2019-12-09T16:42:04Z,11
Lovely editing !! 🤩💗💗,Skye Shankland,2019-12-09T16:40:35Z,0
"Omgggg I thought the thumbnail was u in a hospital bed at first glance,I was like wtff, until I looked closer 😅",Max Tomlinson,2019-12-09T16:40:22Z,11
✨,An Va,2019-12-09T16:40:01Z,0
When that Duloc song hit I knew what she was watching lmaoooo,Hunter Parsons,2019-12-09T16:38:58Z,5
Great. Video. Zoe,Gary Jolly,2019-12-09T16:38:48Z,0
I&#39;ve been there just after Christmas &amp; for New Years Eve celebrations. I love all the Christmas decorations &amp; lights. I try &amp; go every year at different times of the year as you can never get enough of NYC. Hope you guys have the best time!!💕💕💕,Stephanie Lake,2019-12-09T16:38:13Z,6
"Oh that pizza looks delicious, made my mouth water!",Amelia Read,2019-12-09T16:36:02Z,2
Love ya Zoe. So happy to have you guys stateside 💙 have so much fun in New York! I was just in Brooklyn about 3 weeks ago,maddybeams,2019-12-09T16:31:34Z,0
I just came back from my last exam and see this 🙌🏼,Naomi,2019-12-09T16:31:09Z,8
So much love for you x,Emma Van Leeuwen,2019-12-09T16:30:42Z,1
the pizza is so big😱,Yoyo Lau,2019-12-09T16:29:22Z,0
Have fun!,Aishlyn Hernandez,2019-12-09T16:28:38Z,0
Love love love even your 12 min Vlogmas! 💕💞❤️,Robyn B,2019-12-09T16:27:49Z,0
Loveeee this video💫🌲🎅🏼❤️,Fleur van der beek,2019-12-09T16:27:28Z,0
Thank you for the video. 🙌,Kertu Ojaloo,2019-12-09T16:26:05Z,0
Welcome to New York! I hope you enjoy!,Emily Groff,2019-12-09T16:25:09Z,0
loved this vlog &lt;3,Qasim Suhail,2019-12-09T16:24:02Z,1
Zalfie + Christmas + NYC = ❤️,She in not Lost,2019-12-09T16:23:56Z,13
What was the pizza restaurant name??,Sarah D'amours Thompson,2019-12-09T16:23:34Z,0
earlyggg,ZEIB AMJAD,2019-12-09T16:23:16Z,0
Enjoy your holiday !,Ana Santos,2019-12-09T16:22:47Z,0
"<a href=""https://www.youtube.com/watch?v=g7O5gXi_g48&amp;t=5m37s"">5:37</a> Zoe! Love your vlogs! Just letting you know that NYC electricity runs differently. As your camera is set to England which is PAL it wouldn&#39;t hurt to change your camera settings to NTSC 23.976FPS while you&#39;re in NYC to stop that &quot;strobing&quot; effect when you film artificial light. :)",Julianne Wilkinson,2019-12-09T16:22:46Z,275
Not the same without mark xx still luv vlogs thou,Kat W,2019-12-09T16:22:22Z,14
Hope you have the best time!,jadesings015,2019-12-09T16:21:49Z,0
are we not going to talk about how beautiful zoe looked when she was sleeping,melissa parnell,2019-12-09T16:21:34Z,456
"Christmas in New York is just somthin els!! Cant wait for more, hope you have a good time there",3layah11,2019-12-09T16:21:26Z,2
Love ittttt well done Zoe 💕💕💕,Daisy Janes,2019-12-09T16:21:09Z,0
❤❤❤,lily,2019-12-09T16:20:47Z,1
I have   been looking forward to your  New York Vlogs,Jenzzyuk,2019-12-09T16:19:53Z,0
Zoe’s face in the thumbnail 😂,tiffany real,2019-12-09T16:19:52Z,3
"Even though it was short I still loved this! I’d love to see a festive haul from places like target and makeup from Sephora! A tip for jet lag is to not keep looking back at the time in the UK compared to where you are now, it keeps your body in the mentality you’re awake at 5am rather than 12am for example",KT,2019-12-09T16:19:39Z,49
🥰,Tara Bevelander,2019-12-09T16:19:30Z,1
Love this intro! 🎄❄️,Jameslee,2019-12-09T16:19:28Z,1
Im earlyyyyyyyyy,ija,2019-12-09T16:18:41Z,1
We’re visiting New York too!! I highly highly suggest going to serendipity 3 for their frozen hot chocolate!!,Jose Mireles,2019-12-09T16:18:38Z,0
