comment,id,date,num_likes
"I was in England for a music tour and a holiday back in August and September, went to Brighton for the day with my sister. When we went to the pier, first thing I did was the Zoltar fortune teller thing because I saw it in this vlog 😂 also brought a stone from the beach back to Australia for my mum since she&#39;s from England and misses her home",Alex Channon,2019-10-29T00:47:17Z,8
"I love your vlogs so much, its always sad when vlogmas ends because I don&#39;t have your cozy vlogs to enjoy but when you do upload it makes me happy :)",cheesetoastie11,2019-02-18T21:01:06Z,3
Love your vlogs - Genuinely cheer me up after a long day of work xx,Meg Birch,2019-02-18T21:01:05Z,3
"I need your jumper, it’s so pretty! Also Dianne has a Pepsi one, and Joe has a Budweiser shirt, you can do it for Halloween 😂😂",c4itl4n,2019-02-18T20:59:35Z,70
I live for this a while 1 1/2 hour worth of zalfie and Joanne,Rosie Pascoe,2019-02-18T20:58:08Z,13
love you Zoe,Madeleine Lupton,2019-02-18T20:58:01Z,3
Love you zoe💜💜💜,Charlotte Bell,2019-02-18T20:57:16Z,4
"Every time I saw Joe waving directly at the camera, it reminded me off when you used to do some sort of performance and you would spot your mum and dad in the audience and get really excited and wave at them 😂😂",Amy Kate,2019-02-18T20:57:01Z,1016
So lucky to watch joes vlog now Zoe’s !!💜💜,River Luker,2019-02-18T20:56:55Z,7
We call that card game the scaby queen 👑 like if u do too 😂💞,Emma Gilmour,2019-02-18T20:56:48Z,3
Joe looks like he’s living his best life. I’m so happy for him!!,Sheyanne Stewart,2019-02-18T20:56:28Z,1977
You are just SO beautiful and your laughter is infectious! Keep going lovely🤗,Jessica,2019-02-18T20:56:22Z,3
I love your vlogs so much ❤️,Hannah Read,2019-02-18T20:56:19Z,5
Zoe I acc love you and your vlogs! I’m so happy you are vlogging and I CANNOT BELIEVE I WAS BREATHING THE SAME AIR AS U IN THAT ARENA 😂😭💓xxx,mimi kabir,2019-02-18T20:56:12Z,6
My two favourite couples!!!! Hopefully you all get married!! (Joe and Dianna then Zoe and Alfie obviously!,Shai Millam,2019-02-18T20:55:58Z,20
Ello happy Monday!!! Love this vlog already and have just started watching xoxo,Amanda Kuhl,2019-02-18T20:55:50Z,4
The dolphin game?? Lmao we always had camels xx 😂🤦‍♀️♥️,Amy Louise,2019-02-18T20:54:13Z,4
loved your instagram post about imposter syndrome - even thought i dont have it right now - its nice to know other feel the same,Andrew,2019-02-18T20:53:33Z,1
I was there on Sunday to! It was my birthday ! X I just missed u I was in the arcades just after you were 💛,Gracie Sanchez,2019-02-18T20:53:24Z,2
Love you zoe 😍 xxx,violette harrold,2019-02-18T20:52:38Z,0
Love you Zoe x You and your mum look sooo beaut together.,Sacha Kaur,2019-02-18T20:52:04Z,4
yesss 50 minute vlog 💃💃❤❤,Amanda Jardim,2019-02-18T20:51:51Z,1
Such a lovely vlog Zoe :) XXX,Lindy Sharp,2019-02-18T20:50:02Z,3
&quot;Like buzz lightyear?&quot; HAHAHA,Karen Zaragoza,2019-02-18T20:49:57Z,419
Your vlogs are the best . I get so excited every time u post a new one 😘,Jehona Haxhijaj,2019-02-18T20:49:29Z,0
Missed your vlogs Zoe!! Love all your outfits❤️❤️,Zafy D15,2019-02-18T20:49:09Z,5
we&#39;ve been blessed with sugg/deyes/buswell content today thanks &lt;3,revenqcr,2019-02-18T20:48:57Z,17
Diannes face when your plains air hockey is my everything 😂❤️,emily xo,2019-02-18T20:48:35Z,7
"In the copacobana dance, in the group bit at the end watch Aljaz’s reaction to joe, Dianne too 😂",Charlotte Bruce,2019-02-18T20:48:30Z,33
Thank you for uploading a long vlog today !!! I’ve been in sad/annoyed mood today and this video has changed my mood completely xx,Demi Marshall,2019-02-18T20:48:14Z,4
Forever loving your vlogs zoe ❤️ from an Aussie youtuber hehe x,Molly Roseman,2019-02-18T20:47:30Z,284
Ohhh I was just thinking about how I was I in the mood to watch a Vlog from Zoe ☺️,Maggie Hasper,2019-02-18T20:45:23Z,109
Fav vid ever😀😙😘😛😜,avril moorehead,2019-02-18T20:43:52Z,2
amazing!!,Katie,2019-02-18T20:42:39Z,1
Came out right after joes i feel so lucky 😊😍❤❤,Beth Sweet,2019-02-18T20:41:36Z,8
This gave me old school YouTube vibes and I loved it! Just pure fun❤️,Chloe Reading,2019-02-18T20:41:25Z,15
a 40 minute joe vlog then a 48 minute zoe volg:0 We&#39;ve been blessed,hehehe he,2019-02-18T20:41:21Z,9
So the rumors are true Joe and Dianne from Dancing are dating!!!,Faith Hudson,2019-02-18T20:40:10Z,8
All these vlogs!!!!!!! Aaaahhhh!!!!! ❤️❤️❤️❤️❤️❤️❤️❤️❤️,Eleanor,2019-02-18T20:39:28Z,1
"Coronation street is on and I’d like to watch that, however priorities are calling so xx haha",Nieve Archer,2019-02-18T20:39:21Z,3
48 minutes Zoe your spoiling us! 🤗,Mrs S,2019-02-18T20:39:16Z,4
💖💖💖💖😊😊😊😊,Bye Guys,2019-02-18T20:38:58Z,1
Yay! A new vlog 💗,Alice XoXo,2019-02-18T20:38:43Z,5
I was just at the O2 today 😂,H.A,2019-02-18T20:38:38Z,4
Can’t wait to watch this 💞💞,Emma Bisset,2019-02-18T20:38:14Z,0
when dianne said &quot;like buzz lightyear&quot; I nearly died hahah!!,Sophie H,2019-02-18T20:38:05Z,140
Zoe and Di’s friendship is goals,Olivia Harvey,2019-02-18T20:35:00Z,17
And the Suggs both upload videos over 40 minutes long today :),Hannah,2019-02-18T20:34:53Z,15
Blessed with content today,Lorna Pitkethley,2019-02-18T20:34:15Z,2
Love this new video,Christina Harden-Moros,2019-02-18T20:34:13Z,0
"What, buzz light year? 😂😂",Charlotte Powell,2019-02-18T20:33:55Z,85
Omg Dianne and joe are soooo cute 💛,sahra hashi,2019-02-18T20:33:37Z,35
I wish i was this good at vlogging.. i usually drop the camera or run into things 😂💯,Jessica Kent,2019-02-18T20:33:04Z,5
"Sitting by the fire, with a cuppa after the most stressful day but buzzing to watch a new vlog 😊",Rozzie,2019-02-18T20:32:57Z,112
"I love your mom Zoe, she is so sweet. And thanks for your vlogs, they make me so happy!",Daniela Castro,2019-02-18T20:32:27Z,2
Hey girl!!!!,Jessica Kent,2019-02-18T20:32:16Z,15
is that like the british version of dwts,finn,2019-02-18T20:30:53Z,15
"I love when you, Alfie, joe, and Dianne are together! It makes me so happy!!❤️😘",Evelyn Lin,2019-02-18T20:30:15Z,13
"<b>i love this zoë, been watching your vlogs for so long now and I’ve loved every single one!❤️x</b>",Gracie Davenport,2019-02-18T20:30:14Z,1
I love you Zoe!,Evelyn Lin,2019-02-18T20:29:41Z,3
wall done joe!!!!!!!!!!!!,leonie hopes,2019-02-18T20:29:31Z,1
Helloooo zo I’ve been watching you since 2015. Ly xxxx,Liv Legg,2019-02-18T20:29:16Z,3
ALL HAIL THE QUEEN,Wesley,2019-02-18T20:27:47Z,4
This is definitely one of my new favorite vlogs!,Jordan Thush,2019-02-18T20:27:44Z,1
Yayyyyyyyy!!!!!!,Theresa Lyon,2019-02-18T20:27:20Z,1
My whole day is MADE!!!!!🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻,Melinda Torres,2019-02-18T20:25:50Z,3
Yesss I love when Zalfie and Joanne come together and i love that u have blessed us wiv 40+ minutes of content ❤️,Tanni Henry,2019-02-18T20:24:35Z,11
Zoe you should do few vlogs or grwm with yr stunning mum. Wish i looked that good. I&#39;m 44 but feel 94,Sharon Lee,2019-02-18T20:23:17Z,12
Omg the difference in Joe. He used to hardly talk on yr old vlogs n now he&#39;s just out there rocking the quiff n guyliner,Sharon Lee,2019-02-18T20:22:08Z,393
Tour content is still coming 😁😁😁,Emma Hirst,2019-02-18T20:21:59Z,3
As I said last time so good waking up to see this gets me feeling good for the rest of the day 🥰🥰😌,soph,2019-02-18T20:21:50Z,2
yipppeeeee,Jennifer Bowes,2019-02-18T20:21:45Z,1
A 48 minute vlog? Okay Monday just got better ✨😊,rebecca g,2019-02-18T20:21:40Z,6
Omg ❤️❤️❤️❤️,Sophie,2019-02-18T20:21:18Z,1
The bands version of ‘I bet you look good on the dance floor’ made me laugh 😂,Ellie Jones,2019-02-18T20:21:13Z,15
Ily zoeeeeee 💘 you look so gorgeous 💕,millie jess,2019-02-18T20:21:09Z,0
Hi Zoe! I love your vlogs and I’m so happy that you seem so happy here 💕,rebecca g,2019-02-18T20:21:09Z,3
love your vlogs sssssssoooooooooo much,Natalia peat,2019-02-18T20:20:51Z,1
Hey early squad where u at,Amelia purdham,2019-02-18T20:19:46Z,1
Zoe you went on the same day as me 😊☺️❤️,Aesthetic Info Official,2019-02-18T20:19:37Z,5
And here I was thinking I was going to have a boring night!,Ag B,2019-02-18T20:19:34Z,23
My day is madee.,Esme M,2019-02-18T20:19:32Z,1
I’ve missed your vlogs so much!!! They always brighten my day! ❤️😊,Maddy Fry,2019-02-18T20:19:09Z,8
Love your vlogs your amazing,Olivia Louise,2019-02-18T20:19:09Z,0
Love you and everything you do x,Ceinwen MT,2019-02-18T20:18:45Z,1
48 mins 🙌🙌🙌🙌🙌🙌🙌🙌🙌,Harriet Stacey,2019-02-18T20:18:32Z,5
