comment,id,date,num_likes
I say is jaguwar,emily bathers,2019-10-30T11:40:33Z,0
"Here’s to a fantastic new adventure and the future of Zoella! 💛<br /><br />Is it just me, or would anyone else LOVE a press box? Lol. They look SO exciting. 🤩",Keeley Lester,2019-03-09T12:08:06Z,7
I hope you keep doing beauty products. Its rare to have a creator who cares so much about the product. Maybe just do it the way you want to do it,SKRIBBLEproductions,2019-03-09T09:50:05Z,2
I’m with Alfie on the jag situation 😂,Jennifer Gouge,2019-03-09T09:34:25Z,2
"Omg! Lived in London for a while and naked dough was just the best thing ever, got it so often when I went to Camden haha!😍 Wish you could get these packs in Germany too tho😩",Laura K,2019-03-09T09:31:42Z,2
I listened to audiobooks falling asleep as a kid and still do. Gotta have that sweet soothing sound of literally anything all the time ha ha,Malachi Fox,2019-03-09T08:54:35Z,1
"About that noise thing at the end, I’m the same when it comes to working. I need music in the background. And I think that’s bc when I was growing up, the radio was ALWAYS on in the livingroom haha. I only found out that that wasn’t ‘normal’ when a friend pointed out to me: ‘you guys always have the radio on..?’ And I was like: yeh bc silence is a horrible thing hahaha",Lotte van Atten,2019-03-09T08:53:36Z,1
"I Love everything in this vlog as usuals , I receive a good vibes from it.. 💜💜💜💜",noor shela,2019-03-09T08:51:59Z,1
Team Zoe!,Beatrice Marsilius,2019-03-09T08:47:48Z,0
What was in the apple bag?,Lauren Simmen,2019-03-09T08:38:25Z,0
I love long vlogs when I&#39;m doing chores,Juuust Nothing,2019-03-08T19:04:26Z,0
I love your vlog xx,Hannah Macdougall,2019-03-08T19:03:31Z,1
Happy women’s day btw,Sarah Elizabeth,2019-03-08T19:01:22Z,0
I’m team Zoe especially bc Peugeot is a French brand and in French you don’t pronounce the t at the end!,Sarah Elizabeth,2019-03-08T19:00:48Z,0
"Smart decision with Zoella Beauty! End it when you want to not when you have to. Also, turning 30 in 2020, I think it’s time to move on, just as normal people change their job every once in a while, try to grow and take on new projects. I think there couldn’t have been a better timing, you’ve made the most of it, now it’s time to move on.",N. Ku,2019-03-08T18:50:18Z,412
Time to stock up on my Zoella body lotion they are my absolute faves . Looking forward to seeing what&#39;s coming.,carrie bradshaw,2019-03-08T18:49:07Z,2
Zoe&#39;s eyes are so Blue x,lucy folwell,2019-03-08T18:48:13Z,0
I love you x,Ellie Gladwin,2019-03-08T18:47:24Z,0
I’m so excited for my ZOELLA x colourpop make up to come 🥰,Zoe Jayne,2019-03-08T18:45:30Z,0
Really loved your frank discussion about where your business is going and I definitely agree with your decision. You are using your platform to educate others about real life things and I applaud you 👏🏼,Samantha Cassels,2019-03-08T18:44:31Z,3
"I’m so proud of you, Zoe! It’s been amazing to watch you grow with each new development and each new year. I can’t wait to come along for all new adventures babe!! <br /><br />P.S. Jaguar no longer sounds like a word at this point but I’m pretty sure I say it “jag-warr/waar” so I don’t fully pronounce the UA in the middle. Mostly I just say jag to avoid that very situation though lol.",Deanie Duncan,2019-03-08T18:39:44Z,1
"Excited for all the new things happening in the future! Can&#39;t wait to see where you take Zoella beauty. I also can&#39;t do anything without something on in the background. I used to have this radio in my room and would play it at night because I hated the silence and felt like I could hear everything. Also was very convinced the house was haunted so there&#39;s that. But now when I work I have to play music or have a movie I watched a thousand times on in the background or else I can&#39;t focus. I also can&#39;t sleep without music playing, but I can&#39;t stand having the tv on at night because I need it to be as dark as possible for me to fall asleep. Love the makeup chitchats, and love the long vlogs! Have a great day!",Brianna Rogers,2019-03-08T18:34:28Z,1
I’m so happy you’re following your heart about Zoella beauty. You are such an inspiration to me and thank you for all you do. 💜💜,Cara Parten,2019-03-08T18:29:46Z,1
So blessed with all the Zoe vlogs lately 😁😁,Jami Bryant!,2019-03-08T18:02:04Z,0
Team Zoe 100%,Louise's Life,2019-03-08T17:57:38Z,0
"Yes I agree on the last bit of the vlog. I can’t do things without background sound/music too. I usually have your vlogs on to fall asleep, dead silence just makes my brain think about stuff more! xx Singapore",tania ebys,2019-03-08T17:39:53Z,4
Love long videos you go girl.. I&#39;m 46 I&#39;m not a teen.. just love what you&#39;ve done with your life.,April Holt,2019-03-08T17:38:50Z,54
Your makeup in your &#39;Big Decisions&#39; section is fab 😍 Such beautiful radiant skin x,Naomi Black,2019-03-08T17:38:18Z,13
Honestly love zoella so much. She is such an inspirtation and she makes my day everytime 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,E S,2019-03-08T17:37:27Z,3
"As a kid, I always used to fall asleep with the TV on, so now I just can’t fall asleep in silence!",Hannah Maher,2019-03-08T17:37:05Z,0
Team Zoe❤️,Master Mills 900,2019-03-08T17:37:03Z,0
Zoe I love your makeup and hair when you were talking about Zoella Beauty!!,Ebun Zara,2019-03-08T17:36:38Z,8
we will always stay on the journey with you zoe.. no matter where it goes:),Emily Mallett,2019-03-08T17:34:51Z,2
American here....umm Jaggy wat?!??!,lexi,2019-03-08T17:34:47Z,1
Love you zoe xxxx,Saskia Dawkins,2019-03-08T17:34:10Z,0
Onto bigger and better things - it&#39;s the natural progression of life when you&#39;re following your heart. <br />Well done! xx,Alyssa Slauenwhite,2019-03-08T17:31:30Z,10
Sorry Zoe but Alfie’s right today😂❤️,L.Goss,2019-03-08T17:30:35Z,3
Happy internationals women&#39;s day y&#39;all 💕💖,Allizah Salman,2019-03-08T17:29:21Z,7
"zoe is totally correct about the jaguar situation, alfie’s pronunciation is so strange! i think it differs with region in the uk.",tourne solar,2019-03-08T17:28:34Z,0
your hair looks so good and healthy omg i love it,Begüm Ertaş,2019-03-08T17:27:45Z,3
In America we pronounce it Jagwire lol,Kristy Abersold,2019-03-08T17:27:02Z,2
"Damn, British English is hard <a href=""http://www.youtube.com/results?search_query=%23teamAlfie"">#teamAlfie</a>",Enerel Enkh-Amgalan,2019-03-08T17:26:24Z,0
Love the transparency!,Katrina Bradford,2019-03-08T17:26:00Z,3
Lol Americans say “jag-war” for Jaguar. Literally makes no sense 🙄,Melanie O’Brien,2019-03-08T17:25:54Z,2
I&#39;m from Canada and a lot of people I know pronounce Jaguar as &quot;jag-wire&quot;. So quite a bit different than the brit version haha,Kelly Anderson,2019-03-08T17:25:51Z,5
Love this x,Maisie Bowering,2019-03-08T17:25:44Z,0
I say-<br />jaguar like Alfie says it <br />Water like warta also like Alfie 😂💘,Danniella Richards,2019-03-08T17:25:42Z,7
It was great supporting zoella beauty even though its hard to get it in america! I&#39;m very excited for what comes next for you and I will support you all the way :),Mildred Nolasco,2019-03-08T17:25:20Z,2
