comment,id,date,num_likes
This makes me want to go to NY during Christmas!,raecat90,2019-12-24T16:59:35Z,0
THE YELL I LET OUT WHEN I HEARD A.C.E BYE,Katie,2019-12-13T15:30:40Z,62
i can’t believe you accidentally saw A.C.E performing-,char fallon,2019-12-11T10:42:27Z,174
Dying to go New York,Jade Carrington,2019-12-11T10:42:12Z,1
never thought i would see kpop in your vlog agshshsjs you just casually bumped into a.c.e performing,farhahxoxo,2019-12-11T10:21:30Z,39
❣️,Wiktoria Biel,2019-12-11T10:04:19Z,1
Your skins looking really nice Zoe xx,Isabelle Johnsson,2019-12-11T09:58:07Z,1
I&#39;m so jealous,A Cohen,2019-12-11T09:57:17Z,1
watching you eat ice-cream in beg with a fuzzy coat on was so satisfying!! ahahaha feel like traveling somewhere cold and eating icecream in a heated room in bed,Gia Loren,2019-12-11T09:15:30Z,1
"The fathers and sons one: there were 3 people - the son, his father, and his fathers father. Boom!",Tanya Swartz,2019-12-11T08:47:10Z,9
Where are you staying looks amazing going to New York next year and that place looks amazing x,shana page,2019-12-11T08:36:01Z,0
Go to East River State Park! Best view of city and amazing food market- Smorgasburg! Fav place in the world!,Sally Fiddes,2019-12-11T07:55:12Z,0
"Zoe and Kpop, two of my favourite things ❤️ I don’t why I got a sudden rush of happiness when Zoe stumbled upon a Kpop group 🥰",Confused Fox,2019-12-11T07:48:12Z,19
✨🎄 that’s cool about the Food Network show you were watching holiday baking championship or something? Currently watching a number of them here in Canada 🇨🇦 ✨ A lot of fun the hosts of the show are really interesting to watch,Mike Bowes,2019-12-11T07:13:33Z,1
I have never been able to finish my scoops of cookie dough. I had the signature one and the salted caramel one (which was sooooo good ).,Celine Patti,2019-12-11T06:56:34Z,2
Zoe your skin is amazing at the moment! Please give me some recommendations xxx,Issey,2019-12-11T06:51:38Z,4
"Oh my gosh when zöe and zach are walking back it took me so long to realise she had an umbrella,i thought it was the sky being weird or something🤣🤣love vlogmas🎄🎄",Lucy Grace,2019-12-11T06:48:17Z,2
Great vid !!,lusty laws,2019-12-10T17:09:32Z,1
I still can’t get over the intro it’s beautiful!,Lillian Ford,2019-12-10T17:07:34Z,12
Xx💗💗,Jackie Brown,2019-12-10T17:03:00Z,1
I  think  Zoe has  created a New  word    with  Whelping lol,Jenzzyuk,2019-12-10T17:00:45Z,2
Yaasss just what I need after a long day! x,Amelia Read,2019-12-10T16:56:19Z,0
My brother was in NY last Friday-Monday and it was snowing and you missed it ❤️❤️❤️❤️❤️❤️❤️❤️,Millie Warwick,2019-12-10T16:56:01Z,2
I got the candy shop riddle so quick I’m proud,Brea Hatcher,2019-12-10T16:54:47Z,80
LOVE YOUR VLOGMASSS XXX,Summer Yallop,2019-12-10T16:52:19Z,1
Wow Zoë is soooooo beautiful!!! 💙💙💙💚💙,Skye Shankland,2019-12-10T16:52:01Z,1
"They have two rough trades in London if you’re interested, and one in Nottingham",rib_ equestrian,2019-12-10T16:51:09Z,12
"Whelping is when dog’s have puppies, yelping is the noise😉😂😂",Georgie T,2019-12-10T16:50:43Z,180
Williamsburg bridge!! I knew y’all were in my neighborhood!! If you keep walking down Kent Avenue towards the bridge you’ll hit another small hidden pier where you could also step into the rocks near the river!,J-Dizzle,2019-12-10T16:46:39Z,9
They went there last year,Kat W,2019-12-10T16:53:51Z,1
"Hi Zoe!!  What part of Brooklyn are you staying in??  It looks like  might be Williamsburg.  I hope the weather clears up. Brooklyn Heights Promenade is amazing for views &amp; photos of southern districts NYC, Freedom Tower &amp; Statue of Liberty 🗽 in the NY Harbor.  You were right there - it’s just left of the carousel 🎠 in DUMBO which stands for Down Under the Manhattan Bridge Overpass.  🌉 That is The Hudson River you &amp; Zack we’re walking along.  I hope you enjoy your trip and thanks for taking us along.  Boo-hoo 🌧. xoxo.",olivesdream,2019-12-10T16:46:26Z,3
I love her eyes so beautiful.<br />Who love her eyes?<br />👇,I Am Hungry,2019-12-10T16:45:37Z,13
Zoe vlogmas makes my whole winter,Ahmad Shamroukh,2019-12-10T16:45:24Z,5
Zoe please make a Christmas pamper night because that&#39;s one of the best things about Christmas  they just seem so cozy 😂😂🖤,Marquise Schmidt,2019-12-10T16:44:53Z,12
You’re always so pretty 😍,Abigail Price Harrison,2019-12-10T16:44:01Z,0
I live in Massachusetts and I want to move to Europe so bad !!,Abigail,2019-12-10T16:43:48Z,1
♥️🎄💕,Robyn B,2019-12-10T16:42:28Z,1
LMAO A.C.E,chlo,2019-12-10T16:41:37Z,67
Can’t wait to watch on my break had to quickly scroll through to see if they went to Dyker Heights,Brittany Elyse BK,2019-12-10T16:41:25Z,2
"there&#39;s rough trade stores in the uk too, in bristol, london and nottingham x",tabby,2019-12-10T16:39:42Z,8
When Zoe and Alfie see  kpop group you&#39;ll  never get to see,San_Ateez_MxJ,2019-12-10T16:38:57Z,150
They have rough trade shops in the uk too,Charlotte Tutton,2019-12-10T16:38:23Z,1
"That restaurant you were in at like <a href=""https://www.youtube.com/watch?v=oLR1DmXLXAs&amp;t=9m00s"">9:00</a> called DŌ, to me that name is so wierd! I&#39;m swedish and to me that means die. Don&#39;t know if I would dare to eat there hahah",MalinHallkvist,2019-12-10T16:37:35Z,83
I am so happy Vlogmas is back x❤️,Abbey,2019-12-10T16:35:53Z,0
"Im from New York.  Go to Roll n&#39; Roaster!!!! It is in Brooklyn, best roast beef sandwiches, fries, and mozzarella sticks. Maybe I will see you there!!!!!",nicole Filocamo,2019-12-10T16:35:35Z,4
"OMG can&#39;t believe you&quot;ve seen A.C.E. !!!! Can&#39;t wait them to come to my country with the consert.They are extremelly talented kids! You need to check out their music &quot;Under cover&quot;, &quot;Savage&quot;, &quot;Cactus&quot;...",Polina Shelkova,2019-12-10T16:34:58Z,275
Have a good trip in New York🥰xx,ellie ellie ellie,2019-12-10T16:34:33Z,1
okk but ACE,Theblackrose_25 _,2019-12-10T16:33:36Z,45
On this very day last year I was on my way to NY For my first visit and fell in love with it. So envious of you all. Looking forward to going back in 2021.,Dawn Jones,2019-12-10T16:32:12Z,4
omg that group was a.c.e ahaha,KayKay,2019-12-10T16:32:00Z,66
It was a kpop group named a.c.e !!!!!,valerie cast,2019-12-10T16:29:35Z,98
A.C.E!!!,India A,2019-12-10T16:28:27Z,87
Who loves Zoella? ❤️🤞🏼,xotina,2019-12-10T16:27:30Z,21
"Go to Domino Park in Williamsburg! It recently opened in 2018 and it’s so beautiful, I go there all the time with my dog :)",J-Dizzle,2019-12-10T16:26:13Z,4
Omg I’m living in Brooklyn :(((,MARTIN,2019-12-10T16:25:30Z,5
New york at christmas is definitely the place to be! Have fun and enjoy! ❤❤❤,Hayley Wilkinson,2019-12-10T16:25:21Z,3
Love you Zoe🧡,Aleksandra Aleksic,2019-12-10T16:24:17Z,1
"the only time I ate Dö i got through half and that was only because I had eaten nothing else that day ahhahaha. Hope your loving New York, I&#39;m from Aus but studying in NY on exchange for one semester and have loved every minute. FYI Bryant Park, Union square and Columbus Circle all have ADORABLE christmas markets!!",Jess Pettitt,2019-12-10T16:23:45Z,6
Does anyone know who the KPOP group was?,Leelee 101,2019-12-10T16:23:35Z,6
"Where&#39;s your bag from, zoe? Looks so cute",Michelle D'Souza,2019-12-10T16:22:39Z,0
HOLY SHIT when i heard Savage by A.C.E i thought i was hearing things!!!,Taeminsguccislippers,2019-12-10T16:21:01Z,499
Thanks you for your Vlog I Love this ❤❤❤,Lality,2019-12-10T16:20:20Z,0
Thankyou for being you Zoe 💗💗,Carol S,2019-12-10T16:19:45Z,0
