comment,id,date,num_likes
So sweet when Dianne was dancing with your Grandad 🥺,Emily Lesley Miller,2019-12-16T20:53:02Z,59
Been excited for this all day xx,lucy rodriguez,2019-12-16T20:52:14Z,0
"I’m glad I found this channel. Love the positivity. Her nan was so happy, was feeling joy for her.",luvyou baby,2019-12-16T20:50:21Z,3
Loved this video so much!! ❤️❤️,Kate Silva,2019-12-16T20:49:16Z,1
That was a goodem!  Found myself laughing a lot when you guys were playing games. Diane is so cute cute bless her and her fart 😂😂,Jen Channel,2019-12-16T20:48:45Z,3
"Zoe, I don&#39;t usually comment but, this was a very endearing video. Thanks for sharing what was quite obviously a very special moment (for your Nan) with your family. Felt quite emotional throughout this video actually. Even more excited for Christmas now!!",Charley Jai,2019-12-16T20:47:10Z,54
Would love to know the name of the perfume you got for Dianne! 😁,Shari Yianitsas,2019-12-16T20:44:56Z,15
Aww when your nan opened her pressies I actually cried. How lovely 💜,Sophia's Prettyfaces,2019-12-16T20:37:48Z,4
"<a href=""https://www.youtube.com/watch?v=qAoVDE-h-VY&amp;t=12m00s"">12:00</a> I love Zoes face in anticpation",Max Myers,2019-12-16T20:30:41Z,2
I actually cried at this video and I NEVER cry!! God why are grandparents so precious 😭😭,Cloe,2019-12-16T20:19:23Z,1
Your family are so sweet💜,Maisie Slade,2019-12-16T20:17:56Z,0
your nan is the absolute cutest im crying,Matilde Ramos,2019-12-16T20:15:36Z,3
I need Diane’s onesie😍 and omg i cried when you nan cried,caroline maria,2019-12-16T20:12:42Z,14
OMG I’m crying at your lovely nan xx,Donnahardy4,2019-12-16T20:12:29Z,2
it is always nice to see the grandparents. So nice to see you are arranging adventures for grandma.  keep them active as long as you can. this will give her new stories to tell grandad and he will be happy she went out and had fun.  I just love seeing them grandad is always in our prayers.,H Simpson,2019-12-16T20:08:28Z,48
Your granparents I’m SOBBING,Jay M,2019-12-16T19:57:23Z,4
Joe&#39;s faces when he realizes that he&#39;s ruined Zoe&#39;s presents to her nan and Zoe just awkwardly smiling at him lmao,Joy&All,2019-12-16T19:56:35Z,1478
I am CRYING at ALL of this.,jadesings015,2019-12-16T19:55:55Z,0
I love how Joe predicted the gift and then actually kinda  ruined it 😂,Francesca Devito,2019-12-16T19:51:51Z,470
"Aww, Your nan is the cutest and your grandad wanting to dance with Dianne 😭❤️ xxx",Vicki,2019-12-16T19:45:32Z,14
&quot;Look at it&quot;<br />&quot;I AM looking at it!&quot; <br />😂😂,Ellie G,2019-12-16T19:45:25Z,45
so sweet,Kyme Gracia,2019-12-16T19:34:22Z,1
Your grandad made me tear the f up! Bless his heart 🙏🌟✨❤️❤️❤️,UNIHOEE,2019-12-16T19:31:38Z,3
"<a href=""https://www.youtube.com/watch?v=qAoVDE-h-VY&amp;t=21m08s"">21:08</a> Joe about to sneeze hahahahahhaaha that killed me",Hey you,2019-12-16T19:30:35Z,7
