comment,id,date,num_likes
"Have you not seen the movie with Robin Williams, One Hour Photo? Terrifying!",Jodie,2019-12-24T21:26:43Z,0
A friend of mine works at photo developing and he sometimes gets to develop porn stars&#39; portfolios :DDD,Ieva Radvilė Žalytė,2019-12-24T18:01:03Z,0
I love you vlogmas,Sharina Mac Gillavry,2019-12-16T10:16:14Z,1
"They do per 100 as a standard measure that you can compare the percent of to any other beverage (Or 100g for food)  then per recommended serving size, which definitely does it need to equal the package size. :)",xanthelou,2019-12-16T10:11:17Z,0
"So funny you two talking about photos getting developed, made me think of the film One Hour Photo where Robin Williams is the guy working behind the counter and he gets obsessed with this one family who always bring their film to him to get developed and he knows eeeeverything about them and sees something he shouldn’t have..... I’ve seen it once years ago and it was so haunting I still remember it, 🙈😘😘",Jasmin Siren,2019-12-16T10:07:12Z,1
"I worked in a camera developing studio many, many years ago before digital cameras were an everyday joe item and the amount of naughty photos I developed was crazy. The thing I never understood is, the machine I used to color correct before actual printing the pictures had a big monitor which faced the counter for the whole world to see and people still brought those photos in haha. I even had a photographer client who only took naughty pics of people and his were the most colorful. I was told when I stated that you just continue as if you were working on a regular you know little stacey’s birthday party roll of film and treat it the same way. One of my favorite jobs. I was a photography major in school so it was awesome.",Deja Grow,2019-12-16T09:42:10Z,0
I work in a development shop and one man came in and the film was full of naughty pictures with him and his mom and mid way through the shoot his girlfriend walked in (the photographer kept taking pictures when she walked in),Zoom lad vader,2019-12-16T09:31:13Z,5
Imagine if cleaning ladies said it wasn’t them and they have no idea 😱😄,Danna Minaydar,2019-12-16T09:31:03Z,17
I too have a YouTube channel! I would love if we could all support each other!,Life With Kids And Cats,2019-12-16T09:11:32Z,0
I used to develop films at a high street shop. A woman used to bring them in and they were just pics of her in underwear standing around her house. Surely she knew another human would see them?! The man with porcelain dolls was weird. 😂,Bek Homer,2019-12-16T08:30:17Z,0
THE CLEANERS 😂😂😂,Bek Homer,2019-12-16T08:21:29Z,1
Zoe Whats the colour on your lips when you&#39;re talking about coca cola ?,Polar Bear,2019-12-16T08:05:47Z,0
When your cleaners come &amp; make your house more messy 😜😂 I would pay someone to do my elf of the shelf!,Jess Glynn,2019-12-16T08:05:16Z,9
I’m 35 and when I was younger I always used disposable cameras. I can definitely say there were naughty nudes that I had developed at the local pharmacy...and no one ever said anything when I picked them you,Miss Chanandler Bong,2019-12-16T07:38:16Z,1
Coffee for taste,Christiane Buaben,2019-12-16T07:21:38Z,0
I love that your wrapping is eco friendly ❤,kirbird,2019-12-16T07:10:17Z,0
I worked at jessops for 3 years and a innocent looking middle aged women brought in her film.. Let&#39;s just say. There was a lot of &#39;juice&#39; on her.. Then worst situation was a man we had to report for indecent images of children! That was absolutely awful!,Katie Rodger,2019-12-16T06:46:35Z,2
Thanks for vlogging!,Helen Tkach,2019-12-16T06:41:25Z,0
I love a good zoe sugg vlogmas,Madi Lean,2019-12-16T05:26:01Z,0
Zoey you are just so natural and genuinely enjoying vlogging welcome back 😊🌲,Trish Brenssell,2019-12-16T05:19:26Z,1
♥️♥️♥️,Beluu Ospital,2019-12-16T04:54:07Z,0
I like taking cold chocolate milk to keep me awake rather than having coffee :),verginia04,2019-12-16T04:28:43Z,0
"&quot;So, as much as I.... <b>let me think of a word</b> Love doing it. And I love watching other people do it *oh god face*. It&#39;s not really something you can film&quot; 😂😂",JodieeXO,2019-12-16T04:06:15Z,2
"I work at walgreens as a photo technician. I have been scared for life by the photos that were developed of many peoples genitals, masturbating, and actual sex scenes. It was disturbing to say the least.",Brit wright,2019-12-16T04:04:01Z,0
I used to work as a supervisor of 28 photo shops. Your not suppose to but worker occassionally look at the photos.  The developers would flag rolls of pictures that were inappropriate.  Worse pics men posing with there bits hanging and vamping girls pointing at it,isabel Geddes,2019-12-16T04:03:25Z,0
"Had a friend that worked at Walmart developing pictures, and they weren’t allowed to sell the photos they had to shred them. And he said customers would be SO mad that their naughty pictures were disposed of. 😂",GingerBredFamily,2019-12-16T04:02:34Z,0
Yes,Brit wright,2019-12-16T04:01:09Z,0
Zoe I can’t believe you don’t have a tree skirt! They are amazing. You also need bows for your gifts!,laloosh,2019-12-16T02:50:19Z,1
"I worked at a Walgreens in the photo dept. OH Yes! You would be laughing SO hard at some of the outrageous things people turned in for development. lololol This was before digital, btw.",lesliethiel,2019-12-16T02:16:45Z,0
I love your cleaning ladies lol,Kim,2019-12-16T01:07:19Z,0
Loved all you NY vlogs sooo Christmassy 🎄⛄,Trinity king,2019-12-16T00:35:22Z,0
OMG i love your cleaners!,Debbie Blincoe,2019-12-16T00:29:13Z,1
My friend had to develop a whole BOOK of sexy photos that a girl was giving her boyfriend for their anniversary. She cannot unsee what she saw 😂 There were pictures of all angles lol,Emily Gilmour,2019-12-16T00:08:36Z,0
Elves and being naughty...,Rei Enriquez,2019-12-16T00:03:44Z,0
Back in the 80/90’s when I wanted to finish a roll of film I would take a picture of myself “ a selfie”.,Auntie Kylie,2019-12-16T00:03:26Z,2
