comment,id,date,num_likes
Where is your suitcase from?!,Isabella Hood,2019-12-24T21:39:41Z,1
If you want to go in south of France go to Nice and Monaco in spring is less hot,beauty and fun,2019-10-31T09:51:58Z,2
"12 weeks for your smear results?! 😳😳 that’s wild. I got mine in a week in New Zealand, fascinating how different it can be. If they’re normal you just get a text.",Lucy White,2019-10-27T08:19:51Z,0
"I don&#39;t know if you&#39;ll see my comment but you need to go back to Cannes and go to Saint tropez, bandol and bendor!! Bendor is a small island and it&#39;s my favorite place on earth!!",Claire,2019-10-25T09:55:06Z,0
my keys are pretty much the same but i love it because they’re so easy to find and i know i’ll have them all with me,Amber Jane,2019-09-04T13:27:33Z,0
😻Your hair looks AMAZING!!!😻💥,Rugile Kacanauskaite,2019-09-04T13:06:12Z,1
"Adore your vlogs Zoe, thankyou for always making my evenings cozy and entertaining. Your vlogs relax me xx",Gracie Buttriss,2019-09-04T12:40:23Z,0
"Summer in the South of France is very very hot, you should go back in Spring or Autumn",Jeanne Aln,2019-09-04T12:22:49Z,1
CANT WAIT FOR VLOGMAS!!,izzwizz 111,2019-09-03T16:10:46Z,3
"I love the jersey pillow cases from Primark, I have them in grey and absolutely love the feel of them 😍",Josefine Oijer Fashion,2019-09-03T16:10:26Z,0
Holly is looking gorgeous!❤️,Erika Hayashi,2019-09-03T16:07:22Z,1
When she mentioned Canne I was like... “OMG I remember that vlog” anyone else,BeccaJune,2019-09-03T16:07:10Z,2
Have Seperate keychains for keys and fobs,Michelle Klick,2019-09-03T16:07:03Z,1
Keychain problems<br />you leave a gate opener in each car.  and have all your car keys separate. you can only rive one car at a time so you don&#39;t need all your car keys with you all the time. just decide which car you want to take when you walk out the door.<br /><br /><br />can&#39;t wait for the autumn vlogs and vlogmas! Love,Miriam,2019-09-03T16:06:29Z,4
"I went on a south of France van tour, highly recommend gorg du Verdon and lake annecy! :)",Chloe,2019-09-03T16:04:34Z,2
Love your long vlogs! Can you please do a fall home decor video this year or show us certain rooms you have decorated for the season! I love your style and all the little details you add!,Katelyn Xo,2019-09-03T16:03:14Z,2
You probably already know but gavin and Stacey Christmas special 2019 is on Christmas Day I’m soo excited 🤪🤪,Russell Elliott,2019-09-03T16:01:19Z,1
When it&#39;s  hot and my routine is spoken up my anxiety kicks up too. I bet that didn&#39;t  make it  easier.,Indykitty1,2019-09-03T15:59:33Z,1
"Autumn is like Zoe&#39;s season, she thrives during it And I can&#39;t wait for all the content 🤗",Nina rose,2019-09-03T15:58:42Z,2
"can’t wait for all of the festive, cosy and wintery videos, started watching your vlogmas in august... 2017 was always my favourite 😂🙂🎄🎅🙈",Ruby O’callaghan,2019-09-03T15:56:50Z,1
"My husband is the same. I always make both sides of of the bed. He doesn’t. When I clean our bathroom I obviously also clean his sink. He doesn’t. I clean the toilet in the second bathroom that, mind you, I never use. He’d never clean mine. Recently he started leaving my plate on the table and only putting his in the dishwasher. I think I should start cooking only for myself...😈",UsernamesForDummies,2019-09-03T15:56:41Z,4
I can’t wait to see zoe Halloween vlog,Vincent Marandola,2019-09-03T15:54:23Z,1
Ahhhhh just what I needed after a hard day at school x,1095013,2019-09-03T15:53:05Z,1
Can you do another fall lookbook. I loved that one 😍,Michella,2019-09-03T14:54:06Z,3
Do you watch the program escape to the Chateau DIY there are loads of British Chateau owners that have bought their own. There’s a few in the south of France,My Christmas Emporium,2019-09-03T14:52:55Z,2
Living for haven and Stacey special just watched it again,Stranger Things,2019-09-03T14:51:49Z,1
September 1st - can’t wait for zoella vlogmas 🎄,Samantha Wilson,2019-09-03T14:50:49Z,1
Yay,EmZee C,2019-09-03T14:50:33Z,1
ILYSM &lt;3 XX,Israh Naz,2019-09-03T14:48:11Z,2
"Feel so festive watching Zoe vlogs, IN LOVE!",dave turner,2019-09-03T14:47:07Z,7
I prefer your short hair!,lexi0207,2019-09-03T14:45:47Z,4
glad to know I&#39;m not the only one who put Christmas music on in August,Izzy Postle,2019-09-03T14:45:04Z,142
"I can’t wait for Zoe’s autumn, Halloween, cozy evenings, festive season and vlogmas🍁🎃🎄",Amy An,2019-09-03T14:44:58Z,2979
I’ve been to Cannes and Marseille and they are both beautiful and definitely worth visiting xxx,Lucy Jones067,2019-09-03T14:44:50Z,6
"Just got home and opened my phone too this, made my first day back amazing xx thanks",ruby sinclairr,2019-09-03T14:44:35Z,1
"Oh my god, your hair looks amazing",Taís Fiore,2019-09-03T14:44:31Z,5
Wow wow wow love!♥️♥️♥️,Sharna Jaide,2019-09-03T14:43:48Z,0
Zoe I’m like you when I get back from a holiday I never unpack straight away once I get through the door,Alice Venning,2019-09-03T14:42:59Z,51
frejú (i think thats how you spell it) in the south of France is amazing definitely recommend! <br />I went there a few years ago and went in a car through the rest of France stopping for a few nights in a few different places on the way❤,Imogen Mae,2019-09-03T14:42:25Z,2
When I hear you speak about Nala and the things she does I can’t help but laugh because I have a pug as well and it’s so relatable,K and L,2019-09-03T14:42:07Z,35
Haven&#39;t watched one of your vlogs in sooooo long and I missed it so much! Need to get back to watching youtube and your vids 🤗🤗,Bruna Camacho,2019-09-03T14:41:58Z,22
Almost 50 minutes of Zoe?! Yessss!!!! Thank you 🙏,Hope M,2019-09-03T14:38:31Z,10
just what i needed right before school starts to get me motivated 💞,morgan tpwk,2019-09-03T14:38:26Z,22
anyone else in love with all her vlogs?,EmilyMarcia,2019-09-03T14:38:00Z,45
We gave the BN biscuits! We also have the peach sweets in LIDL!! They’re my favourite,Katie Harrison,2019-09-03T14:37:40Z,6
i’ve been to the south of france a few times and we go stay in canned and get the train and travel stout the coastline. it’s so stunning,Amie Cooper,2019-09-03T14:37:32Z,3
This makeup routine really suits you. Looks so nice. x,Cassidy,2019-09-03T14:37:01Z,128
Just in time !! I wanted a motivational boost to tidy up my room !!😍😍,Mnera Latif,2019-09-03T14:36:14Z,19
"Zoe, you have to come visit Marseille !!!!!",Aure,2019-09-03T14:35:59Z,0
"Loveeee a tidy timelapseee, anyone else?",Audree Elizabeth,2019-09-03T14:35:10Z,5
in love with these updates.,softie bishes,2019-09-03T14:34:30Z,0
It’s unlikely your see this but what colour is your wall? I would love it in my lounge 😍,Stephanie,2019-09-03T14:33:52Z,1
"Toulouse!!! which is in south of france. never actually been (one day though), but from all the photos it’s gorgeous.",taz xo,2019-09-03T14:32:50Z,30
Leon is the prettiest town in the south of France! Try there! 💞,Molly Nicole,2019-09-03T14:32:26Z,1
"When you said bn bn, I had to do the tune afterwards 😂😂",Natalie UK,2019-09-03T14:32:09Z,12
I was just thinking about your videos lol,H.A,2019-09-03T14:30:07Z,6
"Take L-Lysine, supplement everyday and you may get one cold sore a year ,my daughter who is now 27 used to get them weekly she hasn&#39;t had one in over 6 years.",April Holt,2019-09-03T14:28:42Z,70
definitely recommend Monaco! x,Sabina Kacinova,2019-09-03T14:28:15Z,1
I’ve literally been rewatching zoe’s vlogs all day because they just make me feel so nice.. so happy she uploaded!!,maria and,2019-09-03T14:26:49Z,5
