comment,id,date,num_likes
"haha, just wondering where that glass bowl is from!",saratornow,2019-05-10T13:20:53Z,2
As soon as function of beauty was available in Germany I bought it with the leave in and I&#39;m obsessed 😍❤️ I choosed peach but I think next time I try another scent :),Jules191191,2019-05-10T13:06:48Z,2
The Ted Bundy movie on Netflix was filmed in my neighborhood. The bar at the beginning is 5 min away from my house.,Lori from ky,2019-05-10T12:56:58Z,3
Just made an order! If those products work im saved!!! I’ve been struggling a lot qith my hair/scalp type 💕,marilyn_eng,2019-05-10T12:46:19Z,2
Sams fall 🙈😂,Leah Wells,2019-05-10T12:29:33Z,2
"Love the headache strips for my migraines, saw it in one of your blogs a while back (thanks for the tip). ALSO, if you see this... what is the color of your teal/blue wall in your guest bedroom? I LOVE it!",Allison Lewis,2019-05-10T12:27:07Z,2
"Every time I watch your vlogs, I always wish I was friends with Holly. She’s so funny.",MissGrace4,2019-05-10T12:24:54Z,2
"Okay wait, the moment you talked about function of beauty a package arrived with my function of beauty",Charly W.,2019-05-10T12:15:26Z,2
Yaay double dose of vlogging!! Have missed your vids gal ❤️,onceuponadaydreamxo,2019-05-10T11:54:58Z,2
I love Zoe’s vlogs because I can watch them and also be doing something else. I love watching them while tidying. Also I love the long ones. 💗💗,Rebecca Mc,2019-05-10T11:32:54Z,2
You know now that baby is called archie Harrison,Paula Murphy,2019-05-10T11:28:44Z,0
Does anyone else feel at peace when watching Zoe’s vlogs?❤️,Tasha W,2019-05-10T11:07:32Z,1
Ordered myself some shampoo and conditioner...hopefully it’s as good as,Laura H,2019-05-10T10:34:39Z,4
I FRIGGIN LOVE HOLLY. She cracks me up,BettyLTD,2019-05-10T10:16:19Z,0
Of course we enjoy the blog ❤️,1990Hisana,2019-05-10T10:03:23Z,0
I just placed an order! Im so excited!!,Pinklady,2019-05-10T10:02:51Z,1
I love the fact that you use pic monkey 😅,Ruthh_,2019-05-10T09:48:50Z,1
"soo weird, I just finisehd watching extremely wicked shockingly evil and vile. and then you mentioned it.. It was such  good film tho",Julia Lumina,2019-05-10T09:45:50Z,1
Best sponsored product! Thanks Zoe. I have seen Estée talk about them I think. Do they ship to Australia?,natsmyspace,2019-05-10T09:11:48Z,1
that was such a convincing ad that i actually might have to buy those!,Mia B,2019-05-10T09:11:04Z,4
That gasp when she opened the donuts though,Elizabeth Kent,2019-05-10T08:54:53Z,0
"Your hair color right now is sooooo beautiful and it really suits the weather 😍 what color is that, please? Luv u",♡marie passion♡,2019-05-10T08:49:01Z,1
"My friend and I just placed a Function of Beauty order - heard good things but now Zoe&#39;s recommended it, we had to try it!",Jessica Hutchinson,2019-05-10T08:42:40Z,2
Hi Zoe. Just ordered from FOB. I’ve gone for the cherry scent and the ltd edition pink colour. Looking forward to trying it. Xx,Annalisa Yorke,2019-05-10T07:43:00Z,1
Who said Archie!? They actually called the baby Archie!!,Claire Farmery,2019-05-10T06:58:05Z,41
Im so happy you’re vlogging again you’re very inspiring and i feel alive again 😅❤️❤️❤️,Sham Mor,2019-05-10T06:50:37Z,1
Wheres that bedding from 😭🌿,Allexandria Chadwick,2019-05-10T06:47:34Z,7
Just ordered shampoo and conditioner to try  x,Patricia Dyson,2019-05-10T05:57:56Z,4
Missed you Z.,Gretchen Fritter,2019-05-10T05:32:24Z,0
The sound of Holly rooting Zoe on during bouldering ♥️👏💪,Tina Tran,2019-05-10T02:54:55Z,6
And suddenly all is right in the world when Zoe has posted 2 vids in a few days YAY!!,Rebecca Wilkinson,2019-05-10T00:10:00Z,1
"Yessss!!! I love function of beauty 👏🏻 <br /><br />Love your positive energy, thank you for putting me in an amazing mood 🤗",Kirsty Morkel,2019-05-10T00:03:23Z,5
My sister recently ordered that same shampoo and conditioner and her hair is AMAZING. She has frizzy and semi curl and dry and fine hair. Her hair is shiny and healthy and full and straight after using that product. It cost her about $50 but she said it is worth it. No question.,Katie K,2019-05-09T23:55:02Z,0
Omg I can’t believe you guys guessed the name!!! Also I downloaded filmm today 🥳 haven’t really had a chance to play with it yet though,KB,2019-05-09T23:51:29Z,0
A really interesting mystery is Jeffrey McDonald. It happened in the 70&#39;s. his pregnant wife and two daughters murdered.  I don&#39;t want tell to much but very interesting... many twist and turns.,"April, City Girl to Country Wife",2019-05-09T23:42:28Z,0
I got the 🍒blossom scent! 😍,LindaLosLindos,2019-05-09T16:39:37Z,1
💖💖,Kelseyxo,2019-05-09T16:39:32Z,0
Pahahah they said Archie and it happened,Iman Hussain,2019-05-09T16:39:09Z,6
"Always love seeing Holly in your vlogs, she&#39;s so funny ☺️🧡",Purely Vera,2019-05-09T16:37:34Z,25
Have you watched Shtisel on netflix? They just announced they&#39;ll be making a 3rd season :) :) :),Lolli 1234,2019-05-09T16:36:47Z,0
"I see you are spiraling into the murder cases rabbit hole (same here). There&#39;s this mukbanger, Stephanie soo, she discusses different cases every video, but she is so funny! BTW That quiz is genius! Need to look for that shampoo! Who else is clueless when it comes to hair?",lalafemmme,2019-05-09T16:36:39Z,2
👍🏻,sumer Khan,2019-05-09T16:36:36Z,1
Clicked on this as soon as it popped up 🤪,becca marie,2019-05-09T16:36:12Z,1
