comment,id,date,num_likes
Hello,Pablo Alvarez,2019-12-24T17:30:06Z,0
After that game Holly is probably my favourite human 😂,Janine allein Zuhaus,2019-12-24T14:51:00Z,2
the way that you just continued to play with that chuck of hair HAHAHAHAH,Hanna Choi,2019-12-23T09:28:12Z,0
love home vlogs💓 my favourite ones,caroline maria,2019-12-23T08:21:34Z,0
"Love vlogs with decorating, time lapses and nothingness 😂♥️♥️♥️",Ghadeer Gh,2019-12-23T08:02:58Z,0
"I thought this said getting the horse ready for Christmas ngl clicked on this v intrigued as didn’t know Brighton horses typically undergo pre-Christmas rituals but maybe they don’t idk anymore. Great vid tho, love and light ✌🏻",M,2019-12-23T07:35:58Z,1
Your house is so beautiful!!,Kat Creates,2019-12-23T07:35:40Z,0
That penis enlargement bit got me 😂😂😂,Hamish Younger,2019-12-23T07:26:32Z,0
"So i Live in Las Vegas, Nevada and both my husband and I eloped in a little white chapel near the old strip and Elvis married us. We also got to ride in the back of his pink convertible Cadillac to the &quot;Welcome to Las Vegas&quot; sign and take pics with elvis there. It was a GREAT night😂",wut t,2019-12-23T07:22:48Z,7
DECEMBER WENT BY WAY TOO QUICK 😅,TiaGetsFit Plus,2019-12-23T06:44:35Z,0
"Love your vlogmas every year, just can’t get enough, make them longer please..........",Baby Edition,2019-12-23T05:24:57Z,1
"Funny how you thought the party vlogmas wouldn&#39;t be an entertaining one....It was my fave, actually haha xx",floraBA,2019-12-23T04:39:39Z,0
I always look forward to your office party present-stealing vlogs!,Elizabeth Tonovic,2019-12-23T03:39:31Z,0
I like it,SandStorm XII,2019-12-23T03:00:49Z,0
"Loved yesterday&#39;s Xmas party vlog, definitely using that snatch game next year!",Frankie New,2019-12-23T02:44:53Z,0
"I really enjoyed this vlog, zoë^^",Inge de Bruijn,2019-12-23T01:55:38Z,0
I applaud youtubers for doing vlogmas! It must be such hard work. Your vlogs don&#39;t go unappreciated Zoe!,Ramisa Ahmed,2019-12-23T01:54:48Z,17
Merry Christmas zoe,Chan Remy,2019-12-23T01:15:12Z,0
“Do you wonna come in this whole” bit of an innuendo there aye ? 😂😂 this is why I LOVE Holly !!! 😂😂😂💖💖,Millie Kendrick,2019-12-23T00:26:49Z,1
Merry Christmas to you all 🎄🎅🏻⛄️,Mrs Parrott,2019-12-23T00:21:47Z,0
When Holly said “I’ve got no eyebrows” I FELT THAT IN MY SOUL !! 😂😂 being blonde doesn’t give me the best eyebrows ahaha !! These two boys in my class used to hold there fingers up to there eyebrows and say “camouflage” to make fun of my eyebrows 😂😂 don’t really care tbh it means I don’t have to get them waxed or plucked coz you can’t see them 😂😂 anyways rambling on a bit but don’t worry Holly I can see your eyebrows and they are very lovely indeed haha !! 🤷🏼‍♀️😂💖💖,Millie Kendrick,2019-12-23T00:21:34Z,13
That wreath is so simple and cute!!💕,Cheryl Goer,2019-12-23T00:10:52Z,6
when did ur mom remarry!??,Sky Cloud,2019-12-22T23:57:34Z,3
I love how you decorated your house! It looks so nice 🎄 That was a lovely vlog! ❤️,Marine,2019-12-22T23:53:54Z,1
I just love this kind of video like staying at home and chatting. Hope Mark would also joing you next time.,Rei Enriquez,2019-12-22T23:53:43Z,1
💕💕💕💕,Rei Enriquez,2019-12-22T23:52:52Z,0
Omg there watching Matilda ing the background,Dan The chatterbox man,2019-12-22T23:24:21Z,0
Merry Christmas to both of your family at this Christmas time I love your vlogs  keep up the hard work sweetie sending love to u and Alfie family xx see u in 2020 xx,Mikhail Keaney,2019-12-22T23:01:35Z,0
I actually enjoyed every single video Zoe uploaded. Especially the one with Mark and the Christmas party 🎄,marilyn_eng,2019-12-22T22:48:55Z,0
Where did you get your 3x3 pictures from ? Or does anyone know where to print them from!! Thanks,Lucy Parsons,2019-12-22T22:48:40Z,0
Oh I wish I had 4 hours of sleep a night!!,Tegan H,2019-12-22T22:47:53Z,0
Anyone know the name of the eyebrow gel Zoe mentioned in yesterday&#39;s video? 🥰,Beth,2019-12-22T22:45:51Z,0
Alfie’s face after who’s most likely to wake up with half a slice of pizza in bed😂😂💓,Summer Yallop,2019-12-22T22:40:52Z,1
"December has FLOWN by this year honestly, but your vlogmas is amazing 💓💓💓",Summer Yallop,2019-12-22T22:36:19Z,0
"I&#39;d love to know where you get the 50 odd pictures printed from. I usually use an app called FreePrints but if you have a better suggestion or there&#39;s a company that does those square, black and white pictures that would be amazing! Great gift idea x",AJ,2019-12-22T22:32:14Z,3
"I&#39;ve been watching these Vlogmas vids all day hoping to feel Christmas, which usually watching Zoe&#39;s videos does it but having a hard time this year.",Alecia RL,2019-12-22T22:21:48Z,0
Where did you get the pictures printed for the frame 💖☺️,Alisha _,2019-12-22T22:17:55Z,0
love how real zoe is &lt;3 I&#39;m a new youtuber so its so nice to have her being herself :D,Andie Cann,2019-12-22T22:10:32Z,7
I love you guys you guys make me lol happy x mas to zoe mr days and little dog too,gillian guy,2019-12-22T22:01:41Z,0
thank you so much for doing vlogmas it’s truly one of my favorite traditions for christmas to watch your vlogmas xo,Mariah Perry,2019-12-22T21:46:41Z,1
Zoe you need to buy the game Genius Square!! It’s so up your and Alfie’s street and I think you’d love it!!!! 💕🥰 loving your vlogs as always xxx,SarahB 49,2019-12-22T21:45:30Z,0
Have you done a house tour yet?,Karina C,2019-12-22T21:28:18Z,3
Could you please link the game?,Tia Keatting,2019-12-22T21:23:26Z,0
Got so confused when the christmas time song came on and started wondering where the sound came from because i have been editing to that song all day,Orre,2019-12-22T21:19:53Z,1
Zoe: a bird flew out of his trainers..<br /><br />This morning when I went to get a bowl from the cupboards there was a bat in the bowl (!!!)<br />I have no idea how it got in there..<br />I let it out so I hope it&#39;s okay now 😅,Jessica B,2019-12-22T21:19:15Z,2
Where can I find that game?,Enn Beam,2019-12-22T21:14:51Z,0
Zoe: pulls out chunk of hair<br />Zoe: horrified<br /> Zoe: proceeds to play with chunk of hair,Ella's Lps,2019-12-22T21:05:40Z,196
Hi! Does anyone know where her neckless is from? Love this vlog!:),Anna van der Veen,2019-12-22T20:45:13Z,0
Zoe exposing Alfie for wanting a penis enlargement had me DEAD on the floor. 😂☠️🤣☠️😭☠️❤️❣️💕,Megan,2019-12-22T20:45:01Z,0
Wow I can’t believe how late you are decorating your house! 😂🙈,Diana Cameron,2019-12-22T20:43:14Z,1
When she pulled out the hair😂 that used to happen to me too until I realised where else are the naturally shedding hairs gonna go when they are glued together 🤣,Hannah Langford,2019-12-22T20:43:06Z,1
That game seems lovely. I appreciate you embraced your tired-ness. Really down to earth vlog.,phyliciajoykloes,2019-12-22T20:30:22Z,0
“You want to come in this hole” LOL,NOLA64,2019-12-22T20:17:56Z,4
Zoe is literally me this Christmas. Last minute decorating because December went by soooo fast. I usually do everything the first week of December just like Zoe but this year we both seem to be a little late 😄,Kaya K.,2019-12-22T19:55:33Z,1
Home vlogs are my favorite,Mayara Pimenta,2019-12-22T19:47:16Z,0
Who else feels like December just flew by?! :) Happy Holidays everybody &lt;3,Melissa,2019-12-22T19:41:25Z,0
i love how zoe has mark and alfie has hollie but they’re all really good friends but it’s nice bc they trust each other,Tabitha Harrison,2019-12-22T19:39:39Z,29
Lovely!!!!,Ili,2019-12-22T19:38:01Z,0
“You.....soz” 😂😂😂😂❤️,LukesLife,2019-12-22T19:36:26Z,10
Anyone else love the McDonald’s Christmas branding x,LukesLife,2019-12-22T19:34:41Z,1
"<a href=""https://www.youtube.com/watch?v=waxM3UzWCtw&amp;t=6m46s"">6:46</a> 🤣🤣🤣🤣🤣",Charlotte Acreman,2019-12-22T19:17:58Z,0
I love you vlogmas vlog,Sharina Mac Gillavry,2019-12-22T19:17:35Z,0
Harry Styles playing in the background. Love that.,Marija Paulionyte,2019-12-22T19:16:54Z,0
Holly going “🤢 I don’t like willies” is so me,Cait♡,2019-12-22T19:09:16Z,9
Me to and you can just chill and enjoy the munching enterainment and opening prezzies and more nosh nibble hehe🎄,Maria tutunjian,2019-12-22T19:02:14Z,0
"zoe,honestly even I enjoyed the christmas one a lot.I loved the game and it was just so natural",Gayatri Raghuraman,2019-12-22T18:58:33Z,1
"Just so you know, yesterday vlog (the Office Christmas Party) was my favorite of this month as well, for what it&#39;s worth! I love it all, but the bit at the end of you and Holly trying to bounce ping pong balls out of a box was HILARIOUS! Merry Christmas, Zoe 🎄",rebecca g,2019-12-22T18:57:20Z,2
"Loved this vlog❤️<br /><br />If possible,could everyone please go and sub to my channel please it would be very helpful❤️thank you!",Ryan James,2019-12-22T18:47:42Z,0
Zoe : this video is gonna be chatting and time lapses <br />Me : i do not mind would still love it and tbh i love it,Juuust Nothing,2019-12-22T18:37:05Z,5
"&quot;*gag* Don&#39;t like willies...&quot;<br /><br />As a really gay woman, same.",All Of My Love Tess,2019-12-22T18:31:54Z,81
Love that your hair fell out. Then you just played with it.,Sasha,2019-12-22T18:31:48Z,2
Great. YouTube. Video. Zoe,Gary Jolly,2019-12-22T18:31:43Z,0
"I don&#39;t get to have a Christmas. No decorations or presents. But when I watch you, I don&#39;t feel like I&#39;m missing out. :) Your Vlogmas makes me so happy, thank you very much for it♡",Neptune,2019-12-22T18:22:24Z,2
“Do you wanna come in this hole” 😂😂😂,Chloefurlong,2019-12-22T18:14:24Z,27
I love your vlogs whatever you do!😍,Hanna Vänman,2019-12-22T18:08:40Z,0
havent seen zoe in ages but this holly girl seems absolutely hilarious,freya sr,2019-12-22T17:53:40Z,8
Love holly xxxx,12missmolly,2019-12-22T17:50:45Z,0
You are like the MOTHER OF ALL VLOGMAS,Precious Magdalaine Gatus,2019-12-22T17:49:19Z,0
Holly is just hilarious 😂😂😂,Laura 1,2019-12-22T17:48:38Z,1
"that has been me the entire weekend , joggers and no make up weekend to chill before the next couple of days becomes very busy x",Rachael Jones,2019-12-22T17:45:08Z,1
God I’m watching this and studying poetry. Please wish me luck<br />And ily zoe❤️❤️,Bay Kl,2019-12-22T17:00:51Z,5
Where did you order your square photos from to fit the frame ? 😊,Debbie Spencer,2019-12-22T17:00:03Z,9
"<a href=""https://www.youtube.com/watch?v=waxM3UzWCtw&amp;t=6m44s"">6:44</a> Did Holy ask Alfie &quot;do you wanna (bad word) in the hoe&quot;😂😂<br /><br />Was she talking about Zoe🤣<br /><br /><br /><br /><br /><br />My last comment didn&#39;t post and I assumed it was bc of the bad word if you&#39;re wondering why I didn&#39;t just say it😂",Lav,2019-12-22T16:46:10Z,0
Amazing,ritu issar,2019-12-22T16:45:46Z,3
Zoe said &quot;....my Mom and her husband...&quot; I didn&#39;t know her mom re-married! Am i the only one who didn&#39;t know that?,Shanmuga D.K.S,2019-12-22T16:44:49Z,1239
I swear this is the best part of my day!!,Rebecca Kellar,2019-12-22T16:44:20Z,2
Loving your vlogmas videos so much Zoe xxxx,Tallulah Frendo,2019-12-22T16:44:15Z,3
tell him about the bird cause he will put his foot in it and kill the birds :&lt;,Malwur,2019-12-22T16:40:26Z,30
For the prints for your mum where did you get the photos printed? Can’t wait to do one of those for Valentine’s Day for my fiancé 😍,Lita Metcalfe,2019-12-22T16:37:45Z,15
We have 3 more days😌💕,Zuzanna Mackiewicz,2019-12-22T16:37:33Z,3
so excited for tomorrows vlog because i literally love harry potter :),felix !,2019-12-22T16:36:35Z,8
zoe do you like harry styles new album??? love you!! &lt;3,olivia jw,2019-12-22T16:33:45Z,7
"i was just so depressed from working bur seeing zoes upload just made me sooo happy, !!!!!!",Sara crafts and beauty,2019-12-22T16:31:29Z,5
"From everyone I follow yours, Lilly Pebbles’ and Lydia Millen’s have been the most enjoyable and festive fun.",Sarah Gill,2019-12-22T16:31:18Z,1
Thank god you’ve uploaded another vlog cause i was already re watching yesterday’s vlog 🤭🤩 can’t wait till tomorrow’s vlog 🥳 send love to your mom 💗,SHODIESTA,2019-12-22T16:31:00Z,3
Can’t believe Vlogmas is nearly over. 😭,Linda Marric,2019-12-22T16:30:15Z,17
I can&#39;t believe it is Christmas in 3 days 😁😁😁😁😁😁😁😁😁😁,small beansss,2019-12-22T16:29:12Z,7
"Exactly my plans today , Arthur Christmas in the morning for my Sunday Christmas movie .",Luna Grace,2019-12-22T16:25:54Z,4
I have been LOVING vlogmas so far!!Xxx,chardumoulin,2019-12-22T16:25:42Z,0
"Watched your works party again this afternoon with Lisa we both agreed we would have loved to have been there, stealing presents is such a fun game xx my favourite part of your home at Christmas has always been the far end of your lounge, or the jigsaw area xx. It makes me feel you could be anywhere in the world at Christmas. Take care everyone 😉🎄",Karen Curtis,2019-12-22T16:25:16Z,3
Never been this early from the other side of the world! Hi zoe! ❤️,Aizeel Gonzales,2019-12-22T16:24:58Z,3
what was the game holly and Zoe were playing ? I want to buy it cause it looks easy and fun,Barbara Jasiulewicz,2019-12-22T16:24:16Z,37
"I&#39;m such a fan of christmas time, your vlogmas is definitely part of it !",autistichloe disneyfan,2019-12-22T16:22:04Z,1
Zoe please make a pamper night routine,Marquise Schmidt,2019-12-22T16:21:58Z,65
The whole Christmas vibe wouldn’t be complete without watching one of Zoe’s Vlogmas videos.,Kylie K.,2019-12-22T16:20:58Z,79
3 days to go!!! ❄️🎄🎅🏼💝,uhh,2019-12-22T16:19:16Z,8
Never apologise for your home vlogs Zoe! It reminds me of old YouTube times and I LOVE it! Xx,Lily McConnell,2019-12-22T16:18:21Z,547
as if it’s 3 days till Christmas already,isabelle brown,2019-12-22T16:15:52Z,70
I love how Zoe was playing with the massive piece of hair she pulled out for half the video😂,sophie,2019-12-22T16:15:48Z,186
I love the Christmas party vlog I watched it 2,lamita x,2019-12-22T16:15:44Z,4
"What took you so long, huh?",Buttermann,2019-12-22T16:15:26Z,5
Getting into the Christmas spirit I see,Just Some Guy without a Mustache,2019-12-22T16:15:18Z,1
"<a href=""https://www.youtube.com/watch?v=waxM3UzWCtw&amp;t=4m00s"">4:00</a> LOL love how holly went 😧🤭 and then no",I love December,2019-12-22T16:14:13Z,7
Watching zoe vlogmas every year is like watching movie where you waiting a few characters that you already knew to pop out and make a perfect christmast movie.,Blueberrygirl,2019-12-22T16:12:46Z,100
"<a href=""https://www.youtube.com/watch?v=waxM3UzWCtw&amp;t=5m31s"">5:31</a> saddest “no” ever☹️",Vámos Lili,2019-12-22T16:12:15Z,5
Love love LOVE your PJ set from this video!! Where did you get it?!,Kala Russell,2019-12-22T16:11:39Z,1
Where did december goes? :(,Blueberrygirl,2019-12-22T16:11:00Z,2
Earlyyyyyyyy,Karina permanand,2019-12-22T16:09:11Z,2
Oooooh zoeeeee!!! zoe playing with the chunk of hair that came off her head had me sent 😂,Jumy Arif,2019-12-22T16:09:09Z,5
Its 12 midnight in 🇵🇭,Layla,2019-12-22T16:07:59Z,5
❤️,Mariejoy Allado,2019-12-22T16:07:27Z,1
Merry Christmas Zoe,Vincent Marandola,2019-12-22T16:07:25Z,4
I love Christmas I’m soooo excited and I know you do too xx,Grace Sinclair,2019-12-22T16:07:20Z,3
Happy holidays everyone! 🎄🎅🥰,Cipher Eleftheria,2019-12-22T16:07:06Z,1
Holly is just the funniest XD,Honey Newman,2019-12-22T16:07:03Z,7
