comment,id,date,num_likes
anyone know what bag Zoe was using? She took it off in the car,Georgina Lees,2019-12-09T12:58:29Z,0
nothing more stressful than being told you need an ESTA 10 min before your flight to LA! I made it that time I think Alf will be all good :D,Dodd.com,2019-12-09T12:57:54Z,0
I was literally like... ‘is that a shit?!’ And Zoe was like ‘that’s not a poo!’ a second later 😂,Flo,2019-12-09T12:38:00Z,1
I&#39;m loving your vlogmas zoe !,Jason Santos,2019-12-09T12:18:23Z,0
THANK YOU for sharing!!!,debra moss,2019-12-09T12:09:46Z,0
"You should name the elfs Zoe, Alfie and Mark. Those real elfs are so much cuter, elf on the shelf is scary",Alice Hobbs,2019-12-09T12:02:27Z,0
Ok but let’s talk about how great a zoella bauble collection would be?!,K B,2019-12-09T12:00:38Z,87
Xxx💗💗,Jackie Brown,2019-12-09T10:58:40Z,0
❤️ from Philippines 🙂,Tito Michael,2019-12-09T10:19:50Z,0
Probably the strangest comment on here but you can get the mini micellar water in Primark for 99p rather than £1.99😂,Katie McLaren,2019-12-09T10:14:40Z,2
"Lol in Stockholm the sun doesn&#39;t rise until <a href=""https://www.youtube.com/watch?v=xcNjkPG3VRw&amp;t=8m30s"">8:30</a> right now. And then sets again at <a href=""https://www.youtube.com/watch?v=xcNjkPG3VRw&amp;t=14m50s"">14:50</a>...",CarolinaYng,2019-12-09T09:40:01Z,0
Zoe a little tip - if you bend the top of the branch over once and then put the star on it will be perfect - xxx,Maria Hooton,2019-12-09T08:53:13Z,1
I believe the reason why people pack extra underwear is in case anything happen like transport cancellations or anything really and then at lest you don’t have to wear the same underwear twice xx,little Law's Logs,2019-12-09T08:38:05Z,1
"<a href=""https://www.youtube.com/watch?v=xcNjkPG3VRw&amp;t=3m09s"">3:09</a> the girl in the background showing the guy in the background: see, that&#39;s Zoella",MikelJohnsanTV,2019-12-09T08:05:11Z,270
"Even if iam vegan, not celebrating Christmas in this sense, buying only basic.... I love your vlogmas ... it’s all about you",Christiane Buaben,2019-12-09T07:54:16Z,2
The intro is so god ...,Christiane Buaben,2019-12-09T07:48:42Z,0
Loved this vlogmas❤️,ryannn little,2019-12-09T07:32:05Z,0
I honestly thought the Chanel make up you’ve got in boots were a small box of condoms and I went back to pause 😂,Amber Nelson,2019-12-09T07:06:20Z,6
I’m with Alfie on the packing thing! I always make a list and get really stressed out about it and then when I actually do it it goes so fast haha,Katya Mullet,2019-12-09T06:48:07Z,0
It’s a milk prep machine lol x,Ellegaitor,2019-12-09T06:42:18Z,0
Ant and Dec vibes with the rock paper scissors front seat!!,Bethany Van Der Kaaden,2019-12-09T06:19:31Z,0
Alfie giving off some serious Flynn Rider vibes at the beginning of the vlog!,Kai Sanchez,2019-12-09T06:14:48Z,1
"I love Sean &amp; Zoe’s interactions! Awww family!! <a href=""http://www.youtube.com/results?search_query=%23favourites"">#favourites</a>",Jaime Warner,2019-12-09T05:34:37Z,0
Always look forward to Zoe&#39;s vlogs!!! So excited for vlogmas❄❄❄,Tiara Marie,2019-12-09T04:48:51Z,0
"Wouldn&#39;t it be funny if Boots paid Sean for &quot;Make Me Beautiful,Boots&quot;?",Seth K Johnson,2019-12-09T04:38:24Z,0
"<a href=""https://www.youtube.com/watch?v=xcNjkPG3VRw&amp;t=16m29s"">16:29</a> I’m dying 💀💀💀",Teddy Chalamet,2019-12-09T04:35:38Z,2
I just got back from a Christmas trip to New York. You all will love it! It is so magical at Christmas!,Christina Ward,2019-12-09T04:27:05Z,1
Would love to bring you around NYC! :),Lila kwong,2019-12-09T04:16:10Z,0
That little spin that Nala does when ur filling up her bowl always gets me ☺️💕,Teddy Chalamet,2019-12-09T04:03:25Z,2
Oh my gosh I hope I see you guys in New York it would be the best Christmas gift ever!,Ivy De La O Barreto,2019-12-09T03:50:57Z,0
The bottle maker is a prep machine it doesn’t have an alarm clock😂😂 you set it to how many ounces of milk you wanna make and then it makes it with the perfect amount of hot and cold water so the bottle is ready straight away and you don’t have to wait for it to cool down! 💖💖💖,Hannah Barclay,2019-12-09T03:37:43Z,0
i CANNOT wait for the New York vlogs!!! :&#39;),Anya Irvin,2019-12-09T03:24:46Z,1
Aww puppy 🐶 her tail was down 🥺,DisneyNerd101,2019-12-09T03:08:38Z,0
Bizarre question but where is your velvet couch from I love it,jovana,2019-12-09T02:57:23Z,2
I just love your decorating,Marty Talley,2019-12-09T02:47:07Z,0
